gene	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
ENSG00000176681	LRRC37A	-14.9783617568	-0.299042933751	1.01692924663e-50	0.21853282085	0.589343973813	1.69321503043e-18	2.44316309157e-16	24	29	29	1.01692924663e-50	4.23652724146058e-47	4.23652724146058e-47	Brain_Cerebellar_Hemisphere
ENSG00000238083	LRRC37A2	-14.8968720848	-0.322063071019	3.45373604129e-50	0.185122423334	0.578588509951	5.26003827966e-18	6.31817656151e-16	42	47	47	3.45373604129e-50	7.19413217400707e-47	1.43882643480141e-46	Brain_Cerebellar_Hemisphere
ENSG00000225190	PLEKHM1	13.9483549049	0.281999769562	3.21945930303e-44	0.219694481305	0.477640305523	6.57471127624e-14	2.09520639757e-12	24	39	39	3.21945930303e-44	4.47075581880766e-41	1.3412267456423e-40	Brain_Cerebellar_Hemisphere
ENSG00000185829	ARL17A	-13.6967860551	-0.275235197594	1.06118480201e-42	0.207361062639	0.600353362052	5.14577679658e-19	9.45318646074e-17	38	55	55	1.06118480201e-42	1.10522397129341e-39	4.42089588517366e-39	Brain_Cerebellar_Hemisphere
ENSG00000186868	MAPT	12.3720018402	0.592589980284	3.70471538737e-35	0.032166308328	0.219936844272	3.56081046072e-06	1.27822058065e-05	11	30	30	3.70471538737e-35	3.08676886075668e-32	1.54338443037834e-31	Brain_Cerebellar_Hemisphere
ENSG00000184922	FMNL1	10.7057937436	0.434929845021	9.56077612734e-27	0.0527417470785	0.229149738047	2.08423913695e-06	8.02606908756e-06	16	25	25	9.56077612734e-27	6.63836555774974e-24	3.98301933464984e-23	Brain_Cerebellar_Hemisphere
ENSG00000185294	SPPL2C	-10.0754868622	-1.00289579183	7.09087354138e-24	0.00756646115585	0.125232580841	0.000668660147541	0.00113061500711	8	19	19	7.09087354138e-24	4.22008273905558e-21	2.95405791733891e-20	Brain_Cerebellar_Hemisphere
ENSG00000136243	NUPL2	8.62345159822	0.115211634997	6.49656415853e-18	0.323576307105	0.537304173231	3.17740681907e-16	1.98462757039e-14	36	36	36	6.49656415853e-18	3.3830857855545e-15	2.7064686284436e-14	Brain_Cerebellar_Hemisphere
ENSG00000136235	GPNMB	8.43312833609	0.177608491246	3.36545282585e-17	0.149569988978	0.196015843318	1.39606666897e-05	4.2084541925e-05	19	21	21	3.36545282585e-17	1.55783071916568e-14	1.40204764724911e-13	Brain_Cerebellar_Hemisphere
ENSG00000145217	SLC26A1	7.709749976	0.113967322313	1.2606446602e-14	0.283642258647	0.342621475447	1.69662170279e-09	1.53582638506e-08	42	63	63	1.2606446602e-14	5.2518456543932e-12	5.2518456543932e-11	Brain_Cerebellar_Hemisphere
ENSG00000136448	NMT1	6.48323087004	0.164867822537	8.97789551116e-11	0.114614996381	0.222962229519	2.98830738628e-06	1.09665976367e-05	39	55	55	8.97789551116e-11	3.40017388177205e-08	3.74019126994926e-07	Brain_Cerebellar_Hemisphere
ENSG00000196812	ZSCAN16	-6.43474792066	-0.319762306683	1.2367841369e-10	0.0260837573096	0.0444298163328	0.0473946473646	0.0379122086764	13	19	19	1.2367841369e-10	4.29370226193783e-08	5.1524427143254e-07	Brain_Cerebellar_Hemisphere
ENSG00000103510	KAT8	-5.92034986542	-0.11389988161	3.2125745137e-09	0.188158029796	0.276783237881	1.19150696287e-07	6.47702933745e-07	16	17	17	3.2125745137e-09	1.02950657108263e-06	1.33835854240742e-05	Brain_Cerebellar_Hemisphere
ENSG00000214871	AC005082.1	5.69095684975	0.100452983207	1.26329432531e-08	0.201981610762	0.139211175732	0.000316855602569	0.000605970395336	60	64	64	1.26329432531e-08	3.75920297088676e-06	5.26288415924146e-05	Brain_Cerebellar_Hemisphere
ENSG00000108379	WNT3	-5.4964825088	-0.147057727979	3.87441503926e-08	0.10204289115	0.280274224845	9.59746202967e-08	5.32383036682e-07	7	9	9	3.87441503926e-08	1.07605420357048e-05	0.000161408130535572	Brain_Cerebellar_Hemisphere
ENSG00000168517	HEXIM2	5.26348592886	0.142531967607	1.41349330678e-07	0.0785668955885	0.0395037280099	0.061870374679	0.0467739182677	25	38	38	1.41349330678e-07	3.68038319752842e-05	0.000588861311604548	Brain_Cerebellar_Hemisphere
ENSG00000178252	WDR6	-5.08066072865	-0.139405800479	3.7612434136e-07	0.0794571513572	0.125655849895	0.000653773692454	0.00110784322705	12	12	12	3.7612434136e-07	9.21725885944565e-05	0.00156693400610576	Brain_Cerebellar_Hemisphere
ENSG00000124635	HIST1H2BJ	4.43413964661	0.139346186659	9.24406957814e-06	0.0554430303277	0.0568312339732	0.0244652287096	0.0226052222417	17	19	19	9.24406957814e-06	0.0021350007242062	0.0385107938625312	Brain_Cerebellar_Hemisphere
ENSG00000117280	RAB7L1	4.42292929919	0.116261437981	9.73716124818e-06	0.0974809646466	0.175677511502	4.34804723258e-05	0.000111030935106	20	23	23	9.73716124818e-06	0.0021350007242062	0.0405650137599179	Brain_Cerebellar_Hemisphere
ENSG00000214447	FAM187A	4.38033344834	0.139852326889	1.1849783593e-05	0.0732024435341	0.0654088069225	0.0155622443698	0.0156123871177	41	46	46	1.1849783593e-05	0.0024683099224219	0.049366198448438	Brain_Cerebellar_Hemisphere
