gene	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
ENSG00000186868	MAPT	15.7684300243	1.02777674359	5.13094129944e-56	0.0229262934375	0.37979381414	4.22052282219e-12	4.60312125894e-11	8	19	19	5.13094129944e-56	2.45053756461254e-52	2.45053756461254e-52	Brain_Cerebellum
ENSG00000185294	SPPL2C	-13.6072515645	-0.477665471203	3.62626200507e-42	0.0807879051514	0.158110181499	3.19503834038e-05	7.43014709925e-05	16	18	18	3.62626200507e-42	8.65951366810716e-39	1.73190273362143e-38	Brain_Cerebellum
ENSG00000184922	FMNL1	12.5674209339	0.527566074076	3.18959966761e-36	0.0436630510537	0.157470369565	3.32605861729e-05	7.68969669003e-05	17	30	30	3.18959966761e-36	5.07784267083512e-33	1.52335280125054e-32	Brain_Cerebellum
ENSG00000176681	LRRC37A	-12.109628713	-0.326121100175	9.39183200385e-34	0.130936965871	0.616436214653	9.65990801343e-23	1.62713818899e-20	21	46	46	9.39183200385e-34	1.12138474125969e-30	4.48553896503876e-30	Brain_Cerebellum
ENSG00000238083	LRRC37A2	-11.7062668389	-0.24464604659	1.18377893113e-31	0.22468267541	0.670092506663	4.5961048949e-26	1.80641763507e-23	20	39	39	1.18377893113e-31	1.13074563501538e-28	5.65372817507688e-28	Brain_Cerebellum
ENSG00000225190	PLEKHM1	11.6319791262	0.251435542119	2.83448485892e-31	0.188513417845	0.598543414151	9.79762480986e-22	1.28359430743e-19	34	57	57	2.83448485892e-31	2.25624994770032e-28	1.35374996862019e-27	Brain_Cerebellum
ENSG00000185829	ARL17A	-10.7858960662	-0.243397644259	4.01312937982e-27	0.182329359905	0.53593648936	1.55857846113e-18	6.97866451278e-17	25	45	45	4.01312937982e-27	2.73810084543147e-24	1.91667059180203e-23	Brain_Cerebellum
ENSG00000130787	HIP1R	-10.3666667938	-0.600731230916	3.51574778578e-25	0.0313399371355	0.0681233832961	0.00774694812584	0.00843954632259	1	1	1	3.51574778578e-25	2.09890142811066e-22	1.67912114248853e-21	Brain_Cerebellum
ENSG00000136243	NUPL2	8.67225949455	0.131418273146	4.23628878303e-18	0.255628614235	0.399927321071	7.7784468078e-13	9.96906771796e-12	35	35	35	4.23628878303e-18	2.24805724752792e-15	2.02325152277513e-14	Brain_Cerebellum
ENSG00000180346	TIGD2	-8.63523054557	-0.27111409449	5.86087154622e-18	0.0755521488033	0.0419179863089	0.0380288763659	0.031268639512	37	40	40	5.86087154622e-18	2.79915225047467e-15	2.79915225047467e-14	Brain_Cerebellum
ENSG00000103496	STX4	-6.73104442347	-0.247635908744	1.68449522622e-11	0.0590058525235	0.122465738779	0.000290585995059	0.000514973503763	12	12	12	1.68449522622e-11	7.31377200038793e-09	8.04514920042672e-08	Brain_Cerebellum
ENSG00000136235	GPNMB	6.1111659655	0.128291182376	9.89058410466e-10	0.152644330214	0.125287945752	0.000244497935559	0.000443063654264	40	41	41	9.89058410466e-10	3.93645247365468e-07	4.72374296838562e-06	Brain_Cerebellum
ENSG00000099365	STX1B	-6.0010318573	-0.178231672685	1.96067513925e-09	0.087529264413	0.205757972474	1.49501954013e-06	5.00313963129e-06	16	17	17	1.96067513925e-09	7.20321881927538e-07	9.364184465058e-06	Brain_Cerebellum
ENSG00000145217	SLC26A1	5.94287900038	0.0731147503464	2.80059164474e-09	0.399831382097	0.534826154801	1.76025505829e-18	7.68707864167e-17	28	31	31	2.80059164474e-09	9.55401835377017e-07	1.33756256952782e-05	Brain_Cerebellum
ENSG00000108379	WNT3	-5.86265839889	-0.121966275118	4.55514723086e-09	0.162100890689	0.337599679723	1.23928570538e-10	9.97090400391e-10	17	27	27	4.55514723086e-09	1.45035887830582e-06	2.17553831745874e-05	Brain_Cerebellum
ENSG00000117280	RAB7L1	5.53845395676	0.125533785736	3.05153447268e-08	0.142483603033	0.0964852427059	0.00140625835389	0.00198339094064	20	22	22	3.05153447268e-08	9.1088304009498e-06	0.000145741286415197	Brain_Cerebellum
ENSG00000103510	KAT8	-5.36146201017	-0.119238124735	8.25510849588e-08	0.12789440661	0.221523392333	5.24988516368e-07	1.97347178803e-06	21	25	25	8.25510849588e-08	2.31919989272488e-05	0.000394263981763229	Brain_Cerebellum
ENSG00000177352	CCDC71	-5.20514107189	-0.105666160803	1.93849285948e-07	0.148231731894	0.162534471335	2.41832257577e-05	5.79104094865e-05	18	20	20	1.93849285948e-07	5.14346772048693e-05	0.000925824189687648	Brain_Cerebellum
ENSG00000130332	LSM7	-5.06504956123	-0.132391424972	4.08294111885e-07	0.102701031268	0.203753959441	1.70556604949e-06	5.61095038174e-06	20	20	20	4.08294111885e-07	0.000102632246229619	0.00195001267836276	Brain_Cerebellum
ENSG00000117533	VAMP4	-4.87525051314	-0.148518408157	1.08670459432e-06	0.0748374392028	0.201569701509	1.96833507227e-06	6.33537141093e-06	16	16	16	1.08670459432e-06	0.000259505057123616	0.00519010114247232	Brain_Cerebellum
ENSG00000127418	FGFRL1	-4.84930748398	-0.126875177381	1.23893245347e-06	0.101870789095	0.142031670883	8.71462767861e-05	0.000180692677086	25	34	34	1.23893245347e-06	0.000275930874572771	0.00591714139777272	Brain_Cerebellum
ENSG00000178252	WDR6	-4.84422967584	-0.093244247767	1.27103836696e-06	0.149385008456	0.267855372157	2.16789733869e-08	1.0740172147e-07	47	49	49	1.27103836696e-06	0.000275930874572771	0.00607047924060096	Brain_Cerebellum
ENSG00000026950	BTN3A1	4.74239602219	0.167275795483	2.11205237394e-06	0.050173436207	0.0471869434541	0.0275185132862	0.0240704695395	20	21	21	2.11205237394e-06	0.000438572266866845	0.0100871621379374	Brain_Cerebellum
ENSG00000164615	CAMLG	-4.73060578677	-0.0662402497893	2.23850839963e-06	0.280841706349	0.298118895493	2.44564853798e-09	1.44907363883e-08	44	48	48	2.23850839963e-06	0.00044546317152637	0.0106911161166329	Brain_Cerebellum
ENSG00000160194	NDUFV3	4.67588507637	0.155890963051	2.9268849319e-06	0.0497405836041	0.0962573907374	0.00142572017337	0.00200714813254	10	10	10	2.9268849319e-06	0.000559152097390176	0.0139788024347544	Brain_Cerebellum
ENSG00000196296	ATP2A1	-4.59836871183	-1.47661515448	4.25811914015e-06	0.00110658318795	0.0573744565206	0.0148146411518	0.0146256464214	2	2	2	4.25811914015e-06	0.000782183731282938	0.0203367770133564	Brain_Cerebellum
ENSG00000055950	MRPL43	4.54301969575	0.150591301913	5.54540680112e-06	0.0675348423802	0.122981198805	0.000281570247926	0.000501761106186	22	25	25	5.54540680112e-06	0.000966391029080391	0.0264848628821491	Brain_Cerebellum
ENSG00000163938	GNL3	-4.53849890324	-0.122844766221	5.66560904821e-06	0.0810869530077	0.181536057868	7.21761446837e-06	1.98220496351e-05	27	31	31	5.66560904821e-06	0.000966391029080391	0.027058948814251	Brain_Cerebellum
ENSG00000213672	NCKIPSD	4.5291053054	0.152077533418	5.92339735149e-06	0.07410238764	0.0702864621797	0.00680160516278	0.0075896700685	12	15	15	5.92339735149e-06	0.000975522267266077	0.0282901457507162	Brain_Cerebellum
