gene	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
ENSG00000238083	LRRC37A2	-15.4582989441	-0.365556286785	6.63270440469e-54	0.17529751909	0.584098761425	7.79163976486e-19	1.89692635302e-16	32	43	43	6.63270440469e-54	2.09858767364392e-50	2.09858767364392e-50	Brain_Frontal_Cortex_BA9
ENSG00000185829	ARL17A	-15.1586613774	-0.363842334758	6.64090663644e-52	0.17292172329	0.381300559299	5.52346044288e-11	1.50528700846e-09	50	54	54	6.64090663644e-52	1.05059142988481e-48	2.10118285976962e-48	Brain_Frontal_Cortex_BA9
ENSG00000176681	LRRC37A	-13.90808346	-0.401152456885	5.65751770927e-44	0.129197273033	0.555022283657	1.67098160942e-17	2.17934758965e-15	29	42	42	5.65751770927e-44	5.96679534404343e-41	1.79003860321303e-40	Brain_Frontal_Cortex_BA9
ENSG00000186868	MAPT	12.4374234329	0.597907937043	1.63699600634e-35	0.0371622782099	0.183397549272	2.05789215915e-05	0.000109390281289	29	43	43	1.63699600634e-35	1.29486384101494e-32	5.17945536405976e-32	Brain_Frontal_Cortex_BA9
ENSG00000136243	NUPL2	7.6262608956	0.224050971596	2.41660517531e-14	0.0820038794173	0.120548426196	0.000696805503022	0.00199584907807	19	19	19	2.41660517531e-14	1.52922775493617e-11	7.64613877468084e-11	Brain_Frontal_Cortex_BA9
ENSG00000103496	STX4	6.65187145725	0.267074107249	2.89389401251e-11	0.0423875225712	0.116817846665	0.000854548776862	0.00234025691549	16	16	16	2.89389401251e-11	1.52604677593027e-08	9.15628065558164e-08	Brain_Frontal_Cortex_BA9
ENSG00000103510	KAT8	-6.3061689629	-0.132987052014	2.86026784333e-10	0.145904437944	0.1468002635	0.000163461542973	0.000607878761523	26	41	41	2.86026784333e-10	1.29284106518516e-07	9.04988745629612e-07	Brain_Frontal_Cortex_BA9
ENSG00000156873	PHKG2	6.23966932297	2.5481378681	4.38496869796e-10	0.000436930490681	0.0664353144909	0.01311914122	0.0201977776093	1	1	1	4.38496869796e-10	1.73425512004318e-07	1.38740409603454e-06	Brain_Frontal_Cortex_BA9
ENSG00000163749	CCDC158	-5.43435447077	-0.171118465642	5.49951594228e-08	0.0829562227837	0.0993891623745	0.00220608236145	0.00499149977169	27	29	29	5.49951594228e-08	1.93338538237488e-05	0.000174004684413739	Brain_Frontal_Cortex_BA9
ENSG00000164615	CAMLG	-5.1773231824	-0.0853370129093	2.2509210399e-07	0.203364988359	0.317548332959	4.9695840557e-09	7.31781158877e-08	31	31	31	2.2509210399e-07	7.1219141702436e-05	0.00071219141702436	Brain_Frontal_Cortex_BA9
ENSG00000108379	WNT3	-5.11222794274	-0.0815389234145	3.18381321341e-07	0.31092370152	0.445108402123	3.82863750779e-13	1.62576834076e-11	18	27	27	3.18381321341e-07	9.15780455202658e-05	0.00100735850072292	Brain_Frontal_Cortex_BA9
ENSG00000169221	TBC1D10B	5.09573228258	0.125373787744	3.47395772856e-07	0.113155310934	0.0533812156795	0.0267006180883	0.0342609406732	26	29	29	3.47395772856e-07	9.1596685443032e-05	0.00109916022531638	Brain_Frontal_Cortex_BA9
ENSG00000235109	ZSCAN31	5.06334709734	0.0960480404951	4.11958811499e-07	0.179177695962	0.25831419768	2.31625895223e-07	2.23773252715e-06	25	26	26	4.11958811499e-07	0.000100264436890987	0.00130343767958284	Brain_Frontal_Cortex_BA9
ENSG00000120913	PDLIM2	-4.9359457277	-0.107350003825	7.97632878592e-07	0.168814807364	0.154948559268	0.000103627627338	0.00041769590799	47	50	50	7.97632878592e-07	0.000180265030561792	0.00252371042786509	Brain_Frontal_Cortex_BA9
ENSG00000172992	DCAKD	-4.90189607865	-0.113021631672	9.49160467996e-07	0.125752985058	0.109282467476	0.00128889042676	0.00324833249166	31	36	36	9.49160467996e-07	0.000200209581382623	0.00300314372073934	Brain_Frontal_Cortex_BA9
ENSG00000124613	ZNF391	4.83090727998	0.10878056656	1.35912290359e-06	0.151726694897	0.123791554148	0.000583325264052	0.00175072330212	45	50	50	1.35912290359e-06	0.000268766554184922	0.00430026486695876	Brain_Frontal_Cortex_BA9
ENSG00000137343	ATAT1	-4.80822588771	-1.10193066728	1.52275644942e-06	0.00133222856541	0.0961862298229	0.00262425341408	0.0057145965146	2	67	67	1.52275644942e-06	0.000283411847409699	0.00481800140596488	Brain_Frontal_Cortex_BA9
ENSG00000130332	LSM7	-4.79419547079	-0.238639711128	1.63328962255e-06	0.0320487216417	0.0489362652247	0.0340784076489	0.0411810767093	17	27	27	1.63328962255e-06	0.000287096020319344	0.0051677283657482	Brain_Frontal_Cortex_BA9
ENSG00000188672	RHCE	4.44541442598	0.121060655797	8.77225948306e-06	0.124728742528	0.349717775885	5.40700123288e-10	1.11556804592e-08	9	13	13	8.77225948306e-06	0.00146081205286325	0.0277554290044018	Brain_Frontal_Cortex_BA9
ENSG00000187010	RHD	-4.40048563647	-0.195100984496	1.08008877335e-05	0.041914789748	0.205409203836	5.7158218522e-06	3.70751701915e-05	7	13	13	1.08008877335e-05	0.0017087004394397	0.034174008788794	Brain_Frontal_Cortex_BA9
ENSG00000103932	RPAP1	-4.37908638238	-0.141261884781	1.19177888133e-05	0.0630555307703	0.065829650159	0.013557088362	0.0207630076297	12	12	12	1.19177888133e-05	0.0017956135145372	0.0377078838052812	Brain_Frontal_Cortex_BA9
