gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000185829,ARL17A,-14.2483074063,-0.517185591765,4.59278366187e-46,0.0651375136884,0.1582004613,0.000236001846935,0.00128502351707,17,23,23
ENSG00000238083,LRRC37A2,-13.7919710802,-0.212285344896,2.84868687426e-43,0.363440847482,0.697411725997,3.32176217133e-22,4.11175594381e-19,44,60,60
ENSG00000176681,LRRC37A,-13.7566977119,-0.220001334191,4.64253154441e-43,0.360699173907,0.615055623153,4.75576404279e-18,3.5320784683e-15,40,52,52
ENSG00000174227,PIGG,8.83696328838,6.59476508323,9.83554426477e-19,0.000129226580256,0.12684169705,0.00110154419431,0.00429679887954,2,5,5
ENSG00000136235,GPNMB,8.11851419291,0.230115912946,4.71925529694e-16,0.0826511995515,0.213905394107,1.38039768987e-05,0.000136289459599,12,13,13
ENSG00000103510,KAT8,-5.66771667838,-0.210151088001,1.447129931e-08,0.0477297009772,0.108176541446,0.00271763585032,0.00843082613695,8,8,8
ENSG00000178226,PRSS36,-5.22149782324,-0.140291609632,1.77481716195e-07,0.0892199369781,0.121336113945,0.00143902543825,0.00528041440731,12,15,15
ENSG00000164615,CAMLG,-4.91389429865,-0.116377892902,8.92848989367e-07,0.0920497266203,0.198603247933,3.05671163029e-05,0.000256810187933,13,13,13
ENSG00000228696,ARL17B,-4.8706279787,-0.118901178166,1.11244119534e-06,0.238650909005,0.14948461316,0.000363413311444,0.00183359351927,46,69,69
ENSG00000177479,ARIH2,4.82352924347,1.65466076716,1.41040077297e-06,0.000517031372745,0.0682386398012,0.0184956153962,0.0328643789925,1,1,1
ENSG00000213672,NCKIPSD,4.73015255199,0.133454115009,2.24351186538e-06,0.0906990112037,0.124523442823,0.00123287207214,0.0047052772996,10,11,11
ENSG00000235109,ZSCAN31,4.69283526866,0.102595108488,2.6944445035e-06,0.145261243396,0.178963315956,8.33321094132e-05,0.000563663716187,23,30,30
