gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000117280,RAB7L1,11.2335679918,0.438862047453,2.78980528372e-29,0.0452085828597,0.0641208543309,0.0217126333704,0.0346524935719,13,13,13
ENSG00000120088,CRHR1,10.6191954447,2.43741708332,2.42643365203e-26,0.00270966754445,0.0579248920262,0.0294001405345,0.0427744850354,10,18,18
ENSG00000176681,LRRC37A,-10.4557782368,-0.276406612502,1.37862284666e-25,0.176270412377,0.526656850537,1.23219210003e-14,2.47679185167e-12,41,61,61
ENSG00000238083,LRRC37A2,-9.92936561147,-0.245642025316,3.10222895042e-23,0.186018397163,0.529781181267,9.42772301799e-15,2.11798355838e-12,41,66,66
ENSG00000172992,DCAKD,-9.32544923841,-0.186716425588,1.1051441957e-20,0.18748915688,0.10727585847,0.00266721838505,0.00730735982947,42,50,50
ENSG00000198648,STK39,-9.13826196774,-0.296147828806,6.34640449877e-20,0.0615280253918,0.0795840343735,0.0102362214076,0.0200682564686,13,14,14
ENSG00000108379,WNT3,-8.17883316917,-0.261926869076,2.86605589667e-16,0.0753822478773,0.071997083515,0.0147957950808,0.0263190951682,12,20,20
ENSG00000136235,GPNMB,7.86874089328,0.125471807975,3.58228232676e-15,0.254858292905,0.416541530726,5.92207236558e-11,2.93729574357e-09,32,36,36
ENSG00000004468,CD38,-7.22891691968,-0.136524569827,4.8686114224e-13,0.204686640461,0.241771124428,2.71680771329e-06,2.64719760803e-05,56,58,58
ENSG00000159314,ARHGAP27,-7.13943723325,-0.180632366612,9.37137983776e-13,0.101648942704,0.0776994449221,0.0112165135537,0.021429388702,30,34,34
ENSG00000164733,CTSB,-6.73780254327,-0.22223709524,1.60799880494e-11,0.0561792909381,0.0997777140388,0.00384171860387,0.00965265210502,10,10,10
ENSG00000185829,ARL17A,-6.60378891652,-0.39993567383,4.0078007507e-11,0.0198791690298,0.253401701605,1.43279354928e-06,1.61894318673e-05,7,19,19
ENSG00000103510,KAT8,-6.05123162002,-0.274228037002,1.43742599739e-09,0.0346018350582,0.0731977142017,0.0139571568087,0.0252506996221,10,10,10
ENSG00000189157,FAM47E,-5.65344551131,-0.0816496363708,1.57262981685e-08,0.381444416534,0.416619409922,5.89001498911e-11,2.93729574357e-09,65,67,67
ENSG00000158715,SLC45A3,5.23785204224,0.144087409419,1.62456215811e-07,0.0997816012404,0.068317896377,0.0176956934651,0.030023186408,49,56,56
ENSG00000235109,ZSCAN31,5.22550979302,0.139058605744,1.73675927866e-07,0.0920303779784,0.143368014497,0.000452081304018,0.00181742974989,32,38,38
ENSG00000178226,PRSS36,-5.21739177823,-0.118681354635,1.81460180566e-07,0.146700037378,0.11299204804,0.00201816212653,0.00591075763018,17,21,21
ENSG00000069275,NUCKS1,-4.94526375086,-0.102550572397,7.60408391593e-07,0.15472759566,0.242521263927,2.60764817172e-06,2.56674048525e-05,17,18,18
ENSG00000138722,MMRN1,4.90739858601,0.076246953016,9.22923499281e-07,0.326837441098,0.114455068107,0.0018789387029,0.00560618382068,83,91,91
ENSG00000162877,PM20D1,-4.44884082829,-0.112549900381,8.63349652395e-06,0.105611104381,0.0785872373135,0.0107435037013,0.020806724574,25,27,27
ENSG00000188672,RHCE,4.41361613416,0.0683184835186,1.01658144622e-05,0.270406746235,0.422383889791,3.93356296097e-11,2.05791738913e-09,19,19,19
ENSG00000178952,TUFM,-4.20167938234,-0.116770064875,2.64942187936e-05,0.17978937916,0.285707854264,2.3106489902e-07,3.42041625855e-06,19,24,24
ENSG00000213672,NCKIPSD,4.17876349334,0.0645625541549,2.93098285686e-05,0.275764176949,0.348755440374,5.22574158393e-09,1.29596090388e-07,26,28,28
ENSG00000155066,PROM2,4.06457494866,0.19094208453,4.81200746356e-05,0.0386365112261,0.0686027102264,0.0174520265536,0.0297021374591,9,15,15
ENSG00000105397,TYK2,3.99389026909,2.20707114883,6.49979533162e-05,0.000238130499404,0.0556794071222,0.0328276177973,0.0462631040502,2,2,2
ENSG00000178252,WDR6,-3.97643688753,-0.104806002465,6.99555537644e-05,0.0893094555866,0.096038713444,0.00460698804408,0.0110173427399,27,30,30
ENSG00000187010,RHD,-3.91428301085,-0.109087821774,9.06732359792e-05,0.133848593086,0.229353836696,5.32955285048e-06,4.56372794305e-05,14,15,15
ENSG00000065485,PDIA5,-3.86736051658,-0.175912096011,0.000110019719416,0.0305758563122,0.0938277035658,0.00512906153933,0.0118790564275,5,5,5
ENSG00000137877,SPTBN5,3.78745848822,0.100485085663,0.000152196102619,0.0941242413065,0.0963547823253,0.00453681249909,0.0108972872155,36,36,36
ENSG00000213639,PPP1CB,3.77468324062,0.149430388092,0.000160211107707,0.0474911547183,0.135637145808,0.000663344065078,0.00245743203938,7,9,9
ENSG00000105185,PDCD5,-3.69641025399,-0.149523453872,0.000218669510062,0.0548699124414,0.0643321696033,0.0214898758297,0.034361769133,35,36,36
ENSG00000169193,CCDC126,-3.69262975866,-0.118816471312,0.000221947031447,0.0698286350909,0.0572895352238,0.0303311249974,0.0437584392871,17,21,21
ENSG00000164615,CAMLG,-3.65998216365,-0.036028193229,0.000252232804965,0.571931047134,0.270309854203,5.56347989122e-07,7.32678109041e-06,118,125,125
ENSG00000204632,HLA-G,-3.6520478848,-0.95111714057,0.000260157357876,0.00119735225258,0.247022927196,2.0372642214e-06,2.11428841719e-05,4,32,32
ENSG00000113621,TXNDC15,-3.60615058679,-0.0563555613255,0.000310772836547,0.281909822344,0.101885573563,0.0034674972096,0.00898428102113,65,74,74
ENSG00000103932,RPAP1,-3.60192305991,-0.0731427437213,0.000315871861331,0.124948927593,0.20395746821,2.05601806688e-05,0.00014046877979,16,18,18
