gene	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
ENSG00000117280	RAB7L1	11.2335679918	0.438862047453	2.78980528372e-29	0.0452085828597	0.0641208543309	0.0217126333704	0.0346524935719	13	13	13	2.78980528372e-29	7.71660141476952e-26	7.71660141476952e-26	Brain_Putamen_basal_ganglia
ENSG00000120088	CRHR1	10.6191954447	2.43741708332	2.42643365203e-26	0.00270966754445	0.0579248920262	0.0294001405345	0.0427744850354	10	18	18	2.42643365203e-26	3.35575774075749e-23	6.71151548151498e-23	Brain_Putamen_basal_ganglia
ENSG00000176681	LRRC37A	-10.4557782368	-0.276406612502	1.37862284666e-25	0.176270412377	0.526656850537	1.23219210003e-14	2.47679185167e-12	41	61	61	1.37862284666e-25	1.27109026462052e-22	3.81327079386156e-22	Brain_Putamen_basal_ganglia
ENSG00000238083	LRRC37A2	-9.92936561147	-0.245642025316	3.10222895042e-23	0.186018397163	0.529781181267	9.42772301799e-15	2.11798355838e-12	41	66	66	3.10222895042e-23	2.14519131921543e-20	8.58076527686172e-20	Brain_Putamen_basal_ganglia
ENSG00000172992	DCAKD	-9.32544923841	-0.186716425588	1.1051441957e-20	0.18748915688	0.10727585847	0.00266721838505	0.00730735982947	42	50	50	1.1051441957e-20	6.1136576906124e-18	3.0568288453062e-17	Brain_Putamen_basal_ganglia
ENSG00000198648	STK39	-9.13826196774	-0.296147828806	6.34640449877e-20	0.0615280253918	0.0795840343735	0.0102362214076	0.0200682564686	13	14	14	6.34640449877e-20	2.92569247393297e-17	1.75541548435978e-16	Brain_Putamen_basal_ganglia
ENSG00000108379	WNT3	-8.17883316917	-0.261926869076	2.86605589667e-16	0.0753822478773	0.071997083515	0.0147957950808	0.0263190951682	12	20	20	2.86605589667e-16	1.13250151574132e-13	7.92751061018922e-13	Brain_Putamen_basal_ganglia
ENSG00000136235	GPNMB	7.86874089328	0.125471807975	3.58228232676e-15	0.254858292905	0.416541530726	5.92207236558e-11	2.93729574357e-09	32	36	36	3.58228232676e-15	1.23857411447727e-12	9.90859291581816e-12	Brain_Putamen_basal_ganglia
ENSG00000004468	CD38	-7.22891691968	-0.136524569827	4.8686114224e-13	0.204686640461	0.241771124428	2.71680771329e-06	2.64719760803e-05	56	58	58	4.8686114224e-13	1.49628657715093e-10	1.34665791943584e-09	Brain_Putamen_basal_ganglia
ENSG00000159314	ARHGAP27	-7.13943723325	-0.180632366612	9.37137983776e-13	0.101648942704	0.0776994449221	0.0112165135537	0.021429388702	30	34	34	9.37137983776e-13	2.59212366312442e-10	2.59212366312442e-09	Brain_Putamen_basal_ganglia
ENSG00000164733	CTSB	-6.73780254327	-0.22223709524	1.60799880494e-11	0.0561792909381	0.0997777140388	0.00384171860387	0.00965265210502	10	10	10	1.60799880494e-11	4.0433860858764e-09	4.44772469446404e-08	Brain_Putamen_basal_ganglia
ENSG00000185829	ARL17A	-6.60378891652	-0.39993567383	4.0078007507e-11	0.0198791690298	0.253401701605	1.43279354928e-06	1.61894318673e-05	7	19	19	4.0078007507e-11	9.2379807303635e-09	1.10855768764362e-07	Brain_Putamen_basal_ganglia
ENSG00000103510	KAT8	-6.05123162002	-0.274228037002	1.43742599739e-09	0.0346018350582	0.0731977142017	0.0139571568087	0.0252506996221	10	10	10	1.43742599739e-09	3.05840023752365e-07	3.97592030878074e-06	Brain_Putamen_basal_ganglia
ENSG00000189157	FAM47E	-5.65344551131	-0.0816496363708	1.57262981685e-08	0.381444416534	0.416619409922	5.89001498911e-11	2.93729574357e-09	65	67	67	1.57262981685e-08	3.10706719529079e-06	4.3498940734071e-05	Brain_Putamen_basal_ganglia
ENSG00000158715	SLC45A3	5.23785204224	0.144087409419	1.62456215811e-07	0.0997816012404	0.068317896377	0.0176956934651	0.030023186408	49	56	56	1.62456215811e-07	2.95246387909151e-05	0.000449353892933226	Brain_Putamen_basal_ganglia
ENSG00000235109	ZSCAN31	5.22550979302	0.139058605744	1.73675927866e-07	0.0920303779784	0.143368014497	0.000452081304018	0.00181742974989	32	38	38	1.73675927866e-07	2.95246387909151e-05	0.000480387616477356	Brain_Putamen_basal_ganglia
ENSG00000178226	PRSS36	-5.21739177823	-0.118681354635	1.81460180566e-07	0.146700037378	0.11299204804	0.00201816212653	0.00591075763018	17	21	21	1.81460180566e-07	2.95246387909151e-05	0.000501918859445556	Brain_Putamen_basal_ganglia
ENSG00000069275	NUCKS1	-4.94526375086	-0.102550572397	7.60408391593e-07	0.15472759566	0.242521263927	2.60764817172e-06	2.56674048525e-05	17	18	18	7.60408391593e-07	0.000116849422841458	0.00210328961114624	Brain_Putamen_basal_ganglia
ENSG00000138722	MMRN1	4.90739858601	0.076246953016	9.22923499281e-07	0.326837441098	0.114455068107	0.0018789387029	0.00560618382068	83	91	91	9.22923499281e-07	0.000134358231526908	0.00255280639901125	Brain_Putamen_basal_ganglia
ENSG00000162877	PM20D1	-4.44884082829	-0.112549900381	8.63349652395e-06	0.105611104381	0.0785872373135	0.0107435037013	0.020806724574	25	27	27	8.63349652395e-06	0.00119401256926229	0.0238802513852457	Brain_Putamen_basal_ganglia
ENSG00000188672	RHCE	4.41361613416	0.0683184835186	1.01658144622e-05	0.270406746235	0.422383889791	3.93356296097e-11	2.05791738913e-09	19	19	19	1.01658144622e-05	0.00133898299059263	0.0281186428024452	Brain_Putamen_basal_ganglia
