gene	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
ENSG00000117280	RAB7L1	11.2335679918	0.438862047453	2.78980528372e-29	0.0452085828597	0.0641208543309	0.0217126333704	0.0346524935719	13	13	13	2.78980528372e-29	7.71660141476952e-26	7.71660141476952e-26	Brain_Putamen_basal_ganglia
ENSG00000120088	CRHR1	10.6191954447	2.43741708332	2.42643365203e-26	0.00270966754445	0.0579248920262	0.0294001405345	0.0427744850354	10	18	18	2.42643365203e-26	3.35575774075749e-23	6.71151548151498e-23	Brain_Putamen_basal_ganglia
ENSG00000176681	LRRC37A	-10.4557782368	-0.276406612502	1.37862284666e-25	0.176270412377	0.526656850537	1.23219210003e-14	2.47679185167e-12	41	61	61	1.37862284666e-25	1.27109026462052e-22	3.81327079386156e-22	Brain_Putamen_basal_ganglia
ENSG00000238083	LRRC37A2	-9.92936561147	-0.245642025316	3.10222895042e-23	0.186018397163	0.529781181267	9.42772301799e-15	2.11798355838e-12	41	66	66	3.10222895042e-23	2.14519131921543e-20	8.58076527686172e-20	Brain_Putamen_basal_ganglia
ENSG00000172992	DCAKD	-9.32544923841	-0.186716425588	1.1051441957e-20	0.18748915688	0.10727585847	0.00266721838505	0.00730735982947	42	50	50	1.1051441957e-20	6.1136576906124e-18	3.0568288453062e-17	Brain_Putamen_basal_ganglia
ENSG00000198648	STK39	-9.13826196774	-0.296147828806	6.34640449877e-20	0.0615280253918	0.0795840343735	0.0102362214076	0.0200682564686	13	14	14	6.34640449877e-20	2.92569247393297e-17	1.75541548435978e-16	Brain_Putamen_basal_ganglia
ENSG00000108379	WNT3	-8.17883316917	-0.261926869076	2.86605589667e-16	0.0753822478773	0.071997083515	0.0147957950808	0.0263190951682	12	20	20	2.86605589667e-16	1.13250151574132e-13	7.92751061018922e-13	Brain_Putamen_basal_ganglia
ENSG00000136235	GPNMB	7.86874089328	0.125471807975	3.58228232676e-15	0.254858292905	0.416541530726	5.92207236558e-11	2.93729574357e-09	32	36	36	3.58228232676e-15	1.23857411447727e-12	9.90859291581816e-12	Brain_Putamen_basal_ganglia
ENSG00000004468	CD38	-7.22891691968	-0.136524569827	4.8686114224e-13	0.204686640461	0.241771124428	2.71680771329e-06	2.64719760803e-05	56	58	58	4.8686114224e-13	1.49628657715093e-10	1.34665791943584e-09	Brain_Putamen_basal_ganglia
ENSG00000159314	ARHGAP27	-7.13943723325	-0.180632366612	9.37137983776e-13	0.101648942704	0.0776994449221	0.0112165135537	0.021429388702	30	34	34	9.37137983776e-13	2.59212366312442e-10	2.59212366312442e-09	Brain_Putamen_basal_ganglia
ENSG00000164733	CTSB	-6.73780254327	-0.22223709524	1.60799880494e-11	0.0561792909381	0.0997777140388	0.00384171860387	0.00965265210502	10	10	10	1.60799880494e-11	4.0433860858764e-09	4.44772469446404e-08	Brain_Putamen_basal_ganglia
ENSG00000185829	ARL17A	-6.60378891652	-0.39993567383	4.0078007507e-11	0.0198791690298	0.253401701605	1.43279354928e-06	1.61894318673e-05	7	19	19	4.0078007507e-11	9.2379807303635e-09	1.10855768764362e-07	Brain_Putamen_basal_ganglia
