gene	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
ENSG00000186868	MAPT	15.7684300243	1.02777674359	5.13094129944e-56	0.0229262934375	0.37979381414	4.22052282219e-12	4.60312125894e-11	8	19	19	5.13094129944e-56	2.45053756461254e-52	2.45053756461254e-52	Brain_Cerebellum
ENSG00000238083	LRRC37A2	-15.4582989441	-0.365556286785	6.63270440469e-54	0.17529751909	0.584098761425	7.79163976486e-19	1.89692635302e-16	32	43	43	6.63270440469e-54	2.09858767364392e-50	2.09858767364392e-50	Brain_Frontal_Cortex_BA9
ENSG00000185829	ARL17A	-15.1586613774	-0.363842334758	6.64090663644e-52	0.17292172329	0.381300559299	5.52346044288e-11	1.50528700846e-09	50	54	54	6.64090663644e-52	1.05059142988481e-48	2.10118285976962e-48	Brain_Frontal_Cortex_BA9
ENSG00000176681	LRRC37A	-14.9783617568	-0.299042933751	1.01692924663e-50	0.21853282085	0.589343973813	1.69321503043e-18	2.44316309157e-16	24	29	29	1.01692924663e-50	4.23652724146058e-47	4.23652724146058e-47	Brain_Cerebellar_Hemisphere
ENSG00000185829	ARL17A	-14.9481459315	-0.433280581889	1.60146093313e-50	0.114855894056	0.415636369044	3.08755566285e-12	1.09224966295e-10	22	28	28	1.60146093313e-50	4.93089821310727e-47	4.93089821310727e-47	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000238083	LRRC37A2	-14.8968720848	-0.322063071019	3.45373604129e-50	0.185122423334	0.578588509951	5.26003827966e-18	6.31817656151e-16	42	47	47	3.45373604129e-50	7.19413217400707e-47	1.43882643480141e-46	Brain_Cerebellar_Hemisphere
ENSG00000238083	LRRC37A2	-14.5413337108	-0.517561198339	6.62884302223e-48	0.0756732541644	0.53137823414	3.87930500394e-13	9.56785262167e-11	20	38	38	6.62884302223e-48	1.72747649159314e-44	1.72747649159314e-44	Brain_Anterior_cingulate_cortex_BA24
ENSG00000185829	ARL17A	-14.3675934086	-0.414349960516	8.26537936699e-47	0.116480734913	0.324200037106	6.34264542127e-10	8.71252858866e-09	13	20	20	8.26537936699e-47	2.94908735814203e-43	2.94908735814203e-43	Brain_Caudate_basal_ganglia
ENSG00000185829	ARL17A	-14.2483074063	-0.517185591765	4.59278366187e-46	0.0651375136884	0.1582004613	0.000236001846935	0.00128502351707	17	23	23	4.59278366187e-46	1.10777941924304e-42	1.10777941924304e-42	Brain_Hypothalamus
ENSG00000238083	LRRC37A2	-14.1780796255	-0.710951512931	1.25226703493e-45	0.0392157419502	0.422094663499	5.31283137994e-11	3.0795422865e-09	14	30	30	1.25226703493e-45	3.11939718401063e-42	3.11939718401063e-42	Brain_Hippocampus
