gene	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
ENSG00000238083	LRRC37A2	-14.5413337108	-0.517561198339	6.62884302223e-48	0.0756732541644	0.53137823414	3.87930500394e-13	9.56785262167e-11	20	38	38	6.62884302223e-48	1.72747649159314e-44	1.72747649159314e-44	Brain_Anterior_cingulate_cortex_BA24
ENSG00000176681	LRRC37A	-12.6469053969	-0.541698325852	1.16368773209e-36	0.052564347852	0.38572092114	5.86631537517e-09	2.00554596225e-07	23	34	34	1.16368773209e-36	1.51628511491327e-33	3.03257022982654e-33	Brain_Anterior_cingulate_cortex_BA24
ENSG00000138722	MMRN1	12.0268375347	0.167426874252	2.56810347155e-33	0.358818664532	0.183930613455	0.000170749017343	0.000905661300664	64	69	69	2.56810347155e-33	2.23082588228643e-30	6.6924776468593e-30	Brain_Anterior_cingulate_cortex_BA24
ENSG00000136243	NUPL2	8.44890851134	0.168670923812	2.94038769239e-17	0.142872257228	0.151545877862	0.000725404983775	0.00280490180685	43	43	43	2.94038769239e-17	1.91566258159208e-14	7.66265032636834e-14	Brain_Anterior_cingulate_cortex_BA24
ENSG00000136235	GPNMB	8.30399111807	0.16731055173	1.0067117153e-16	0.141424453961	0.278188076831	1.9321448281e-06	2.31651851192e-05	21	21	21	1.0067117153e-16	5.2469814601436e-14	2.6234907300718e-13	Brain_Anterior_cingulate_cortex_BA24
ENSG00000185829	ARL17A	-5.19300406036	-0.172035430884	2.06927669826e-07	0.0764926064531	0.309866905611	3.82254390746e-07	6.43853717611e-06	30	65	65	2.06927669826e-07	8.9875584594426e-05	0.000539253507566556	Brain_Anterior_cingulate_cortex_BA24
ENSG00000164615	CAMLG	-4.918713814	-0.055759662837	8.71147254275e-07	0.429655489225	0.520814340889	8.54563610803e-13	1.84422115333e-10	32	36	36	8.71147254275e-07	0.000324315677805807	0.00227020974464065	Brain_Anterior_cingulate_cortex_BA24
ENSG00000213672	NCKIPSD	4.84784246917	0.0732394753736	1.24811447065e-06	0.304253100837	0.378616910531	8.84944374458e-09	2.72826490331e-07	25	27	27	1.24811447065e-06	0.000406573288814238	0.0032525863105139	Brain_Anterior_cingulate_cortex_BA24
ENSG00000117280	RAB7L1	4.70576964737	0.107134687118	2.52909967648e-06	0.13070540055	0.0881559414496	0.0113197420124	0.0212080031807	29	33	33	2.52909967648e-06	0.000732314861878542	0.00659083375690688	Brain_Anterior_cingulate_cortex_BA24
ENSG00000241852	C8orf58	4.54385948181	1.37437168264	5.52334847734e-06	0.00069998453478	0.0715362209783	0.0231272121576	0.0349635700413	1	1	1	5.52334847734e-06	0.0014393846131948	0.014393846131948	Brain_Anterior_cingulate_cortex_BA24
ENSG00000120071	KANSL1	4.47486789897	0.156154193565	7.64585696321e-06	0.0603623257959	0.0781383664276	0.0174061538859	0.0285929321139	10	18	18	7.64585696321e-06	0.00166314628748228	0.0199251032461253	Brain_Anterior_cingulate_cortex_BA24
ENSG00000102547	CAB39L	4.47451802592	0.0591439146335	7.65838658856e-06	0.401584059736	0.267575052514	3.27806467213e-06	3.59152279769e-05	73	74	74	7.65838658856e-06	0.00166314628748228	0.0199577554497874	Brain_Anterior_cingulate_cortex_BA24
ENSG00000112357	PEX7	4.37233114893	0.122822084652	1.22926881817e-05	0.0780146093919	0.0659635360277	0.0294180224861	0.0414606376704	37	38	38	1.22926881817e-05	0.00246421118473155	0.0320347454015102	Brain_Anterior_cingulate_cortex_BA24
ENSG00000103510	KAT8	-4.29708368362	-0.0889693081362	1.73059874541e-05	0.135860663035	0.0786331355205	0.0170398236973	0.0282464850891	26	34	34	1.73059874541e-05	0.00322138595038461	0.0450994033053846	Brain_Anterior_cingulate_cortex_BA24
