FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000186891.9.TNFRSF18.wgt.RDat	TNFRSF18	1	1.14e+06	1.14e+06	0.458	rs4648611	 2.89	rs4297230	 0.22069	 4.85	-0.6392	216	 4	lasso	 0.173755	2.35e-05	-0.65157	5.15e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000127054.14.CPSF3L.wgt.RDat	CPSF3L	1	1.25e+06	1.26e+06	0.291	rs4648611	 2.89	rs1240707	 0.00988	 3.30	 0.5625	245	 5	lasso	 0.027310	6.37e-02	 0.82483	4.09e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000235098.4.ANKRD65.wgt.RDat	ANKRD65	1	1.35e+06	1.36e+06	0.186	rs4648611	 2.89	rs12089560	 0.16638	-4.56	 0.6828	274	 5	lasso	 0.115547	5.75e-04	-0.59133	5.54e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000189339.7.SLC35E2B.wgt.RDat	SLC35E2B	1	1.59e+06	1.62e+06	0.370	rs11589067	 3.02	rs4648611	 0.06829	 3.94	 2.8905	298	20	enet	 0.171033	2.74e-05	 1.61870	1.06e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000116151.9.MORN1.wgt.RDat	MORN1	1	2.25e+06	2.32e+06	0.541	rs11581548	 3.13	rs7545940	 0.00932	-3.95	 0.4206	348	10	lasso	 0.038542	3.45e-02	 0.05238	9.58e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000272420.1.RP4-740C4.7.wgt.RDat	RP4-740C4.7	1	2.29e+06	2.30e+06	0.474	rs11581548	 3.13	rs2055204	 0.19804	-4.61	 0.1653	326	 8	lasso	 0.129052	2.77e-04	-0.12122	9.04e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000227372.6.TP73-AS1.wgt.RDat	TP73-AS1	1	3.65e+06	3.66e+06	0.390	rs6670328	 2.54	rs2455135	-0.00672	-3.39	-1.3143	436	15	enet	 0.006846	2.06e-01	 1.40629	1.60e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000238142.1.RP11-108M9.4.wgt.RDat	RP11-108M9.4	1	1.72e+07	1.72e+07	0.272	rs9435739	-3.42	rs279788	 0.09969	 4.11	 0.3040	326	 9	lasso	 0.063414	9.18e-03	 0.34802	7.28e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000127463.9.EMC1.wgt.RDat	EMC1	1	1.95e+07	1.96e+07	0.373	rs6669110	 3.27	rs3748759	 0.22451	-4.93	-2.8125	516	 4	lasso	 0.170355	2.84e-05	 2.65027	8.04e-03
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000211454.9.AKR7L.wgt.RDat	AKR7L	1	1.96e+07	1.96e+07	0.212	rs6669110	 3.27	rs6683868	 0.05972	 4.39	-0.7371	497	 4	lasso	 0.037392	3.68e-02	-1.15484	2.48e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000142794.14.NBPF3.wgt.RDat	NBPF3	1	2.18e+07	2.18e+07	0.587	rs3767142	-3.35	rs4654947	 0.46943	 7.05	-0.0797	390	 5	lasso	 0.490510	6.68e-15	-0.40259	6.87e-01
