FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.513	rs17689882	-15.80	rs17689918	 0.378209	-6.14	-15.7908	149	12	lasso	 0.361668	6.99e-11	 16.0028	1.22e-57	1.22e-57	1.28832e-54	1.28832e-54	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.391	rs17689882	-15.80	rs17689918	 0.609128	 7.65	-15.7908	 27	11	lasso	 0.604213	1.22e-20	-15.7853	3.93e-56	3.93e-56	2.07504e-53	4.15008e-53	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000225190.4.PLEKHM1.wgt.RDat	PLEKHM1	17	43513266	43568115	0.207	rs17689882	-15.80	rs11012	 0.160335	 4.31	-14.4061	174	 3	lasso	 0.172925	1.65e-05	-15.4083	1.44e-53	1.44e-53	5.0688e-51	1.52064e-50	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000204650.9.CRHR1-IT1.wgt.RDat	CRHR1-IT1	17	43697694	43725582	0.285	rs17689882	-15.80	rs17689471	 0.153783	 4.51	-15.6863	 87	12	lasso	 0.151985	5.58e-05	-14.3727	7.67e-47	7.67e-47	2.02488e-44	8.09952e-44	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000238083.3.LRRC37A2.wgt.RDat	LRRC37A2	17	44588877	44630815	0.459	rs199439	-14.88	rs199534	 0.500757	 7.29	-14.7662	130	19	enet	 0.563437	1.21e-18	-14.3378	1.27e-46	1.27e-46	2.68224e-44	1.34112e-43	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000186868.11.MAPT.wgt.RDat	MAPT	17	43971748	44105700	0.137	rs17689882	-15.80	rs17689882	 0.105136	-3.98	-15.7974	 29	 7	enet	 0.070830	5.27e-03	 14.0307	1.01e-44	1.01e-44	1.7776e-42	1.06656e-41	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000176681.10.LRRC37A.wgt.RDat	LRRC37A	17	44370099	44415160	0.596	rs17689882	-15.80	rs35732828	 0.059800	 4.29	  3.9005	 75	 9	lasso	 0.442552	1.17e-13	 -9.7409	2.02e-22	2.02e-22	3.04731428571429e-20	2.13312e-19	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000136235.11.GPNMB.wgt.RDat	GPNMB	7	2.33e+07	2.33e+07	0.191	rs858239	-8.71	rs7807879	 0.186555	-5.05	-7.9286	415	 7	lasso	 2.42e-01	2.41e-07	 8.6267	6.31e-18	6.31e-18	8.3292e-16	6.66336e-15	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000136243.12.NUPL2.wgt.RDat	NUPL2	7	2.32e+07	2.32e+07	0.209	rs858239	-8.73	rs7796541	 0.137018	-4.62	-7.2991	423	 5	lasso	 1.42e-01	1.02e-04	 8.4836	2.18e-17	2.18e-17	2.55786666666667e-15	2.30208e-14	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000108379.5.WNT3.wgt.RDat	WNT3	17	44839872	44910424	0.290	rs199439	-14.88	rs12452064	 0.171488	-4.13	  3.8833	246	18	enet	 0.100424	1.03e-03	 -7.2821	3.29e-13	3.29e-13	3.47424e-11	3.47424e-10	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000103510.15.KAT8.wgt.RDat	KAT8	16	31127075	31142714	0.144	rs9938550	-6.82	rs8046707	 0.13718	-4.26	 6.28455	 240	 3	lasso	 1.03e-01	8.89e-04	-6.6932	2.18e-11	2.18e-11	2.0928e-09	2.30208e-08	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000226314.3.ZNF192P1.wgt.RDat	ZNF192P1	6	28129559	28137372	0.303	rs4713118	 7.16	rs1904840	 0.28422	 6.00	 4.679	457	14	lasso	0.3020	4.84e-09	 5.495	3.92e-08	3.92e-08	3.4496e-06	4.13952e-05	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000164615.3.CAMLG.wgt.RDat	CAMLG	5	1.34e+08	1.34e+08	0.2331	rs17167632	-5.41	rs11948613	 0.28032	 5.40	-5.3511	295	10	lasso	 0.255148	1.07e-07	-5.3486	8.86e-08	8.86e-08	7.19704615384615e-06	9.35616e-05	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000189157.9.FAM47E.wgt.RDat	FAM47E	4	7.71e+07	7.72e+07	0.356	rs12651582	 7.55	rs3733250	 0.127290	-4.57	 6.7143	500	 8	lasso	 0.1300	1.96e-04	-5.2259	1.73e-07	1.73e-07	1.30491428571429e-05	0.000182688	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000103932.7.RPAP1.wgt.RDat	RPAP1	15	4.18e+07	4.18e+07	0.273	rs2297380	-4.93	rs2297380	 0.21681	 5.05	-4.9286	363	 8	lasso	 0.19376	4.80e-06	-5.0369	4.73e-07	4.73e-07	3.32992e-05	0.000499488	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000213658.6.LAT.wgt.RDat	LAT	16	28996147	29002104	0.168	rs4072402	-5.39	rs7500321	 0.04098	 3.77	-4.53977	 171	 4	lasso	 4.46e-02	2.25e-02	-4.7625	1.91e-06	1.91e-06	0.00012606	0.00201696	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000164048.9.ZNF589.wgt.RDat	ZNF589	3	4.83e+07	4.83e+07	0.420	rs12497850	-5.74	rs6787500	 2.54e-01	 5.09	 3.9741	 248	 7	lasso	 0.19838	3.64e-06	 4.7089	2.49e-06	2.49e-06	0.000154672941176471	0.00262944	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000272831.1.RP11-792A8.4.wgt.RDat	RP11-792A8.4	7	6.62e+07	6.62e+07	0.243	rs12540695	-4.23	rs12540695	-0.003729	 3.90	-4.2345	227	 4	lasso	-7.94e-03	6.12e-01	-4.5413	5.59e-06	5.59e-06	0.000327946666666667	0.00590304	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000155066.11.PROM2.wgt.RDat	PROM2	2	9.59e+07	9.60e+07	0.104	rs2320431	-4.54	rs4854239	 0.15311	-4.39	-3.9927	112	 9	lasso	 0.157984	3.95e-05	 4.3354	1.45e-05	1.45e-05	0.000805894736842105	0.015312	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000137802.9.MAPKBP1.wgt.RDat	MAPKBP1	15	4.21e+07	4.21e+07	0.290	rs2297380	-4.93	rs11070349	-0.00323	 4.02	-4.5268	417	21	enet	 0.04109	2.73e-02	-4.2164	2.48e-05	2.48e-05	0.00130944	0.0261888	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000196502.7.SULT1A1.wgt.RDat	SULT1A1	16	28616903	28634946	0.252	rs4072402	-5.39	rs11074907	 0.14009	-4.77	-3.75625	 178	22	enet	 1.66e-01	2.42e-05	 4.2036	2.63e-05	2.63e-05	0.00132251428571429	0.0277728	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000197165.6.SULT1A2.wgt.RDat	SULT1A2	16	28603264	28608430	0.202	rs4072402	-5.39	rs11074907	 0.21284	 4.86	-3.75625	 176	 3	lasso	 1.68e-01	2.16e-05	-4.0081	6.12e-05	6.12e-05	0.0029376	0.0646272	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000213672.3.NCKIPSD.wgt.RDat	NCKIPSD	3	4.87e+07	4.87e+07	0.155	rs12497850	-5.74	rs11715581	 7.05e-02	-4.53	-2.1913	 256	16	enet	 0.11172	5.47e-04	 3.8305	1.28e-04	0.000128	0.00587686956521739	0.135168	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000241106.2.HLA-DOB.wgt.RDat	HLA-DOB	6	32780540	32781248	0.606	rs3763355	-4.09	rs4148876	 0.43111	 6.87	-3.313	253	19	enet	0.6383	1.80e-22	-3.752	1.75e-04	0.000175	0.0077	0.1848	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000235513.1.RP4-756G23.5.wgt.RDat	RP4-756G23.5	22	41605126	41613631	0.099	rs5758264	-4.39	rs139432	 0.12244	-4.08	 3.6609	253	 7	lasso	 0.082405	2.78e-03	-3.6743	0.000239	0.000239	0.01009536	0.252384	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000145217.9.SLC26A1.wgt.RDat	SLC26A1	4	9.73e+05	9.87e+05	0.454	rs4690326	10.12	rs3796622	 0.353110	 5.96	 3.9138	380	 3	lasso	 0.3301	6.86e-10	 3.6553	2.57e-04	0.000257	0.0104381538461538	0.271392	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000137804.8.NUSAP1.wgt.RDat	NUSAP1	15	4.16e+07	4.17e+07	0.428	rs2297380	-4.93	rs34040639	 0.25152	 5.68	 3.2117	303	27	enet	 0.25831	8.74e-08	 3.5975	3.21e-04	0.000321	0.0125546666666667	0.338976	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000223745.3.RP4-717I23.3.wgt.RDat	RP4-717I23.3	1	9.37e+07	9.38e+07	0.393	rs4847399	 4.86	rs17131699	 0.37012	-6.55	 3.55844	316	19	enet	 0.41626	1.03e-12	-3.5815	0.000342	0.000342	0.0128982857142857	0.361152	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000182903.11.ZNF721.wgt.RDat	ZNF721	4	4.20e+05	4.93e+05	0.245	rs4690326	10.12	rs7698112	 0.042955	-3.98	-0.7121	301	 5	lasso	 0.0433	2.42e-02	-3.5548	3.78e-04	0.000378	0.0137644137931035	0.399168	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000166582.5.CENPV.wgt.RDat	CENPV	17	16247911	16256813	0.228	rs4792735	  3.92	rs3112521	 0.241684	 5.03	  3.5299	274	 3	lasso	 0.200987	3.11e-06	  3.4999	4.65e-04	0.000465	0.0161125161290323	0.49104	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000173295.3.FAM86B3P.wgt.RDat	FAM86B3P	8	8.09e+06	8.10e+06	0.136	rs2921077	 4.05	rs2945230	0.0492	-4.51	 3.7581	327	 9	enet	0.0714	5.10e-03	-3.495	0.000473	0.000473	0.0161125161290323	0.499488	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000178252.13.WDR6.wgt.RDat	WDR6	3	4.90e+07	4.91e+07	0.200	rs12497850	-5.74	rs3821876	 1.61e-03	 4.03	-2.7213	 256	13	lasso	 0.03507	3.83e-02	-3.4224	6.21e-04	0.000621	0.020493	0.655776	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000169398.15.PTK2.wgt.RDat	PTK2	8	1.42e+08	1.42e+08	0.223	rs13257090	 4.08	rs10088475	0.1195	-4.29	 3.4918	532	 4	lasso	0.0992	1.10e-03	-3.401	0.000672	0.000672	0.0211510588235294	0.709632	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000267454.1.ZNF582-AS1.wgt.RDat	ZNF582-AS1	19	56905025	56905810	0.301	rs8112935	-4.32	rs9636161	 0.16582	-4.55	 3.8400	510	 3	lasso	0.22439	7.44e-07	-3.3972	0.000681	0.000681	0.0211510588235294	0.719136	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000078487.13.ZCWPW1.wgt.RDat	ZCWPW1	7	1.00e+08	1.00e+08	0.473	rs11769700	-4.04	rs11559117	 0.323739	 6.12	-3.8671	304	15	lasso	 2.90e-01	1.12e-08	-3.3864	7.08e-04	0.000708	0.0213613714285714	0.747648	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000272501.1.XXbac-BPG299F13.17.wgt.RDat	XXbac-BPG299F13.17	6	31162977	31165814	0.421	rs1265093	-2.86	rs1265098	-0.00903	-4.06	-2.506	168	26	enet	0.1416	1.01e-04	 3.331	8.67e-04	0.000867	0.0253154594594595	0.915552	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000134490.9.TMEM241.wgt.RDat	TMEM241	18	20777108	21017925	0.369	rs4598991	-3.45	rs9954865	 0.11899	-4.99	-3.02649	394	19	enet	 0.21472	1.35e-06	 3.324	0.000887	0.000887	0.0253154594594595	0.936672	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000111879.14.FAM184A.wgt.RDat	FAM184A	6	1.19e+08	1.19e+08	0.257	rs794607	-4.53	rs4945630	 0.120952	 3.93	-4.0179	460	 7	lasso	 1.16e-01	4.29e-04	-3.2030	0.00136	0.00136	0.0377936842105263	1	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000204525.10.HLA-C.wgt.RDat	HLA-C	6	31236526	31239882	0.635	rs2075789	-3.02	rs2523578	 0.30697	 5.48	 2.489	196	29	enet	0.4644	1.77e-14	 3.192	1.41e-03	0.00141	0.0381784615384615	1	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000164346.5.NSA2.wgt.RDat	NSA2	5	7.41e+07	7.41e+07	0.7451	rs6873912	 3.28	rs6877188	 0.67569	 8.25	 3.2012	468	17	enet	 0.695206	6.07e-26	 3.1817	1.46e-03	0.00146	0.038544	1	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000137806.4.NDUFAF1.wgt.RDat	NDUFAF1	15	4.17e+07	4.17e+07	0.402	rs2297380	-4.93	rs7163788	 0.36947	-6.47	 2.2667	295	22	enet	 0.36162	7.02e-11	-3.1289	1.75e-03	0.00175	0.0450731707317073	1	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000105928.9.DFNA5.wgt.RDat	DFNA5	7	2.47e+07	2.48e+07	0.271	rs2521769	-3.71	rs2106760	 0.229852	 4.84	-3.0336	682	 6	lasso	 1.60e-01	3.60e-05	-3.0940	1.98e-03	0.00198	0.0497828571428571	1	GTEx.Brain_Cortex
