FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.513	rs17689882	-15.8	rs17689918	0.378209	-6.14	-15.7908	149	12	lasso	0.361668	6.99e-11	16.0028	1.22e-57	1.22e-57	1.28832e-54	1.28832e-54	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000186868.11.MAPT.wgt.RDat	MAPT	17	43971748	44105700	0.152	rs17689882	-15.8	rs17689882	0.25318	-4.96	-15.79739	29	2	lasso	0.25526	1.96e-07	15.80544	2.85e-56	2.85e-56	2.68185e-53	2.68185e-53	GTEx.Brain_Frontal_Cortex_BA9
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000204650.9.CRHR1-IT1.wgt.RDat	CRHR1-IT1	17	43697694	43725582	0.175	rs17689882	-15.8	rs17763086	0.154392	4.15	-15.7908	87	1	lasso	0.142	7.15e-05	-15.7908	3.6e-56	3.6e-56	3.4308e-53	3.4308e-53	GTEx.Brain_Caudate_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000186868.11.MAPT.wgt.RDat	MAPT	17	43971748	44105700	0.243	rs17689882	-15.8	rs17763086	0.2606	-5.29	-15.7908	29	1	lasso	0.248283	4.67e-07	15.7908	3.6e-56	3.6e-56	5.4792e-53	5.4792e-53	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.391	rs17689882	-15.8	rs17689918	0.609128	7.65	-15.7908	27	11	lasso	0.604213	1.22e-20	-15.7853	3.93e-56	3.93e-56	2.07504e-53	4.15008e-53	GTEx.Brain_Cortex
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.377	rs17689882	-15.8	rs17689471	0.619406	7.83	-15.6863	27	5	lasso	0.61885	2.98e-22	-15.7414	7.87e-56	7.87e-56	3.750055e-53	7.50011e-53	GTEx.Brain_Caudate_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.481	rs17689882	-15.8	rs17763086	0.51769	-6.96	-15.79085	149	12	lasso	0.49822	3.37e-15	15.73682	8.46e-56	8.46e-56	3.98043e-53	7.96086e-53	GTEx.Brain_Frontal_Cortex_BA9
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.273	rs17689882	-15.8	rs8072451	0.29457	-5.87	-15.6405	149	12	enet	0.28397	2.73e-08	15.713	1.23e-55	1.23e-55	1.09962e-52	1.09962e-52	GTEx.Brain_Nucleus_accumbens_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.575	rs17689882	-15.8	rs17689471	0.639449	-8.06	-15.68627	149	12	lasso	0.63522	7.6e-24	15.7054	1.39e-55	1.39e-55	2.8078e-52	2.8078e-52	GTEx.Brain_Cerebellum
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.579	rs17689882	-15.8	rs8072451	0.63405	-7.52	-15.6405	149	2	lasso	0.628467	2.11e-20	15.6988	1.54e-55	1.54e-55	1.17194e-52	2.34388e-52	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ_SPLICING/CMC.chr17:44049311:44055741:clu_11157.wgt.RDat	MAPT	17	43971747	44105699	0.0334	rs17689882	-15.8	rs17689471	0.0587	-5.48	-15.68627	30	12	lasso	0.051245	8.82e-07	15.6863	1.88e-55	1.88e-55	1.016429e-51	1.458692e-51	CMC.BRAIN.RNASEQ_SPLICING
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.353	rs17689882	-15.8	rs8072451	0.57381	6.85	-15.6405	27	4	lasso	0.57137	2.08e-16	-15.6812	2.03e-55	2.03e-55	1.19568e-52	1.29108e-52	GTEx.Brain_Putamen_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.593	rs17689882	-15.8	rs8072451	0.60084	7.42	-15.64052	27	3	lasso	0.59578	2.05e-19	-15.66852	2.48e-55	2.48e-55	7.77893333333333e-53	2.33368e-52	GTEx.Brain_Frontal_Cortex_BA9
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ_SPLICING/CMC.chr17:44049311:44051751:clu_11157.wgt.RDat	MAPT	17	43971747	44105699	0.0594	rs17689882	-15.8	rs17689471	0.11	7.19	-15.68627	30	10	lasso	0.105666	1.39e-12	-15.6652	2.62e-55	2.62e-55	1.016429e-51	2.032858e-51	CMC.BRAIN.RNASEQ_SPLICING
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.397	rs17689882	-15.8	rs8072451	0.61453	7.56	-15.6405	27	3	lasso	0.61266	1.88e-20	-15.664	2.65e-55	2.65e-55	1.18455e-52	2.3691e-52	GTEx.Brain_Nucleus_accumbens_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.358	rs17689882	-15.8	rs8072451	0.416194	-5.96	-15.6405	149	2	lasso	0.411291	8.84e-11	15.6528	3.18e-55	3.18e-55	1.73628e-52	1.73628e-52	GTEx.Brain_Hippocampus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.367	rs17689882	-15.8	rs8072451	0.49602	-6.45	-15.6405	149	2	lasso	0.49256	1.76e-13	15.6421	3.76e-55	3.76e-55	1.19568e-52	2.39136e-52	GTEx.Brain_Putamen_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.341	rs17689882	-15.8	rs8072451	0.423569	-6.63	-15.6405	149	1	lasso	0.41989	2.52e-13	15.6405	3.86e-55	3.86e-55	1.22619333333333e-52	3.67858e-52	GTEx.Brain_Caudate_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000204650.9.CRHR1-IT1.wgt.RDat	CRHR1-IT1	17	43697694	43725582	0.125	rs17689882	-15.8	rs17763086	0.03071	3.73	-15.791	87	9	lasso	-0.00603	0.47	-15.6229	5.09e-55	5.09e-55	3.1049e-52	3.1049e-52	GTEx.Brain_Hypothalamus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000225190.4.PLEKHM1.wgt.RDat	PLEKHM1	17	43513266	43568115	0.306	rs17689882	-15.8	rs8072451	0.22487	-4.9	-15.6405	174	4	lasso	0.200529	7.25e-06	15.5949	7.89e-55	7.89e-55	4.00286e-52	1.200858e-51	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000159314.7.ARHGAP27.wgt.RDat	ARHGAP27	17	43471275	43511787	0.263	rs17689882	-15.8	rs17689471	0.15679	4.31	-15.6863	204	8	lasso	0.12336	0.000352	-15.531	2.13e-54	2.13e-54	6.3474e-52	1.90422e-51	GTEx.Brain_Nucleus_accumbens_basal_ganglia
