FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.353	rs17689882	-15.80	rs8072451	 0.57381	 6.85	-15.6405	 27	 4	lasso	 0.57137	2.08e-16	-15.6812	2.03e-55	2.03e-55	1.19568e-52	1.29108e-52	GTEx.Brain_Putamen_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.367	rs17689882	-15.80	rs8072451	 0.49602	-6.45	-15.6405	149	 2	lasso	 0.49256	1.76e-13	 15.6421	3.76e-55	3.76e-55	1.19568e-52	2.39136e-52	GTEx.Brain_Putamen_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000238083.3.LRRC37A2.wgt.RDat	LRRC37A2	17	44588877	44630815	0.410	rs199439	-14.88	rs199439	 0.61485	 7.06	-14.8839	130	12	lasso	 0.62062	1.62e-18	-14.8551	6.45e-50	6.45e-50	1.3674e-47	4.1022e-47	GTEx.Brain_Putamen_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000204650.9.CRHR1-IT1.wgt.RDat	CRHR1-IT1	17	43697694	43725582	0.144	rs17689882	-15.80	rs17689471	 0.22477	 4.35	-15.6863	 87	11	enet	 0.20604	1.24e-05	-14.2623	3.76e-46	3.76e-46	5.9784e-44	2.39136e-43	GTEx.Brain_Putamen_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000176681.10.LRRC37A.wgt.RDat	LRRC37A	17	44370099	44415160	0.470	rs17689882	-15.80	rs199501	 0.12444	 4.54	-12.9592	 75	27	enet	 0.35759	2.26e-09	-11.5067	1.22e-30	1.22e-30	1.55184e-28	7.7592e-28	GTEx.Brain_Putamen_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000136235.11.GPNMB.wgt.RDat	GPNMB	7	2.33e+07	2.33e+07	0.310	rs858239	-8.71	rs199357	 3.16e-01	-5.59	-8.417	415	 5	lasso	 0.32113	2.10e-08	 8.624	6.45e-18	6.45e-18	6.837e-16	4.1022e-15	GTEx.Brain_Putamen_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000189157.9.FAM47E.wgt.RDat	FAM47E	4	7.71e+07	7.72e+07	0.280	rs12651582	 7.55	rs3733250	 0.16172	-4.48	 6.7143	 500	 8	lasso	 1.27e-01	6.29e-04	-6.3547	2.09e-10	2.09e-10	1.89891428571429e-08	1.32924e-07	GTEx.Brain_Putamen_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000178252.13.WDR6.wgt.RDat	WDR6	3	4.90e+07	4.91e+07	0.107	rs12497850	-5.74	rs4858831	 0.11171	 3.74	-5.4322	256	 5	lasso	 0.07309	8.40e-03	-5.416	6.11e-08	6.11e-08	4.85745e-06	3.88596e-05	GTEx.Brain_Putamen_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000223745.3.RP4-717I23.3.wgt.RDat	RP4-717I23.3	1	9.37e+07	9.38e+07	0.376	rs4847399	  4.86	rs7519163	 0.335170	-5.39	 3.7733	316	37	enet	 0.33509	9.07e-09	-4.4067	1.05e-05	1.05e-05	0.000742	0.006678	GTEx.Brain_Putamen_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000115602.12.IL1RL1.wgt.RDat	IL1RL1	2	1.03e+08	1.03e+08	0.245	rs12467316	 6.40	rs4399750	 0.12357	-3.84	-1.9646	575	 8	lasso	 0.21294	8.66e-06	 4.2886	0.000018	1.8e-05	0.0011448	0.011448	GTEx.Brain_Putamen_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000213672.3.NCKIPSD.wgt.RDat	NCKIPSD	3	4.87e+07	4.87e+07	0.226	rs12497850	-5.74	rs7432989	 0.23388	-4.85	-4.7627	256	14	enet	 0.22180	5.44e-06	 3.998	6.39e-05	6.39e-05	0.00369458181818182	0.0406404	GTEx.Brain_Putamen_basal_ganglia
