FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000187608.5.ISG15.wgt.RDat	ISG15	1	9.49e+05	9.50e+05	0.424	rs35242196	-1.89	rs3819001	-0.00771	-3.42	-1.0036	177	10	lasso	 0.04232	3.73e-02	 0.2682	0.788517
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000242349.1.NPPA-AS1.wgt.RDat	NPPA-AS1	1	1.19e+07	1.19e+07	0.374	rs3117066	 3.02	rs198405	 0.11532	-4.39	-1.1646	451	40	enet	 0.25372	1.14e-06	 1.1391	0.254671
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000116138.8.DNAJC16.wgt.RDat	DNAJC16	1	1.59e+07	1.59e+07	0.418	rs3979179	 2.62	rs6679870	 0.00595	-3.79	 0.0579	506	 8	lasso	 0.11309	1.34e-03	-0.6312	0.527881
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000142632.12.ARHGEF19.wgt.RDat	ARHGEF19	1	1.65e+07	1.65e+07	0.469	rs3979179	 2.62	rs221045	 0.31717	 5.27	-1.4341	320	 7	lasso	 0.32293	2.31e-08	-1.5902	0.111789
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000127463.9.EMC1.wgt.RDat	EMC1	1	1.95e+07	1.96e+07	0.364	rs6669110	 3.27	rs3748759	 0.26313	-5.01	-2.8125	516	 6	lasso	 0.23198	3.64e-06	 2.8381	0.004538
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000169914.5.OTUD3.wgt.RDat	OTUD3	1	2.02e+07	2.02e+07	0.537	rs6669110	 3.27	rs2315059	 0.19813	 5.18	-0.8523	538	11	lasso	 0.20658	1.36e-05	-0.9163	0.359516
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000142794.14.NBPF3.wgt.RDat	NBPF3	1	2.18e+07	2.18e+07	0.646	rs3767142	-3.35	rs4654947	 0.34204	 6.01	-0.0797	390	16	enet	 0.41328	7.73e-11	-0.5209	0.602403
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000204219.5.TCEA3.wgt.RDat	TCEA3	1	2.37e+07	2.38e+07	0.328	rs12080522	 2.34	rs2298632	 0.18280	 4.17	 0.6975	319	31	enet	 0.09619	2.97e-03	 0.8304	0.406290
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000259984.1.RP11-335G20.7.wgt.RDat	RP11-335G20.7	1	2.57e+07	2.57e+07	0.297	rs631133	-4.42	rs311484	-0.01026	-3.68	-0.6508	369	 5	lasso	 0.00107	3.01e-01	 1.1078	0.267938
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000157978.7.LDLRAP1.wgt.RDat	LDLRAP1	1	2.59e+07	2.59e+07	0.497	NA	   NA	NA	      NA	   NA	     NA	344	 0	enet	 0.03856	4.46e-02	     NA	      NA
