FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ/CMC.SNCA.wgt.RDat	SNCA	4	9.06e+07	9.08e+07	0.0673	rs356200	19.20	rs356200	 0.031848	 -5.17	19.2018	 445	   7	lasso	0.036472	 2.59e-05	-15.49464	3.77e-54	3.77e-54	2.041455e-50	2.041455e-50	CMC.BRAIN.RNASEQ
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ/CMC.MAPT.wgt.RDat	MAPT	17	43971747	44105699	0.0533	rs17689882	-15.80	rs17689471	 9.15e-02	 -6.52	-15.68627	 31	 31	blup	 0.09114	 3.36e-11	 14.63735	1.62e-48	1.62e-48	4.38615e-45	8.7723e-45	CMC.BRAIN.RNASEQ
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ/CMC.ARHGAP27.wgt.RDat	ARHGAP27	17	43471267	43503012	0.0562	rs17689882	-15.80	rs17689471	 4.08e-02	  4.74	-15.68627	216	 30	enet	 0.03417	 4.55e-05	-12.47830	9.81e-36	9.81e-36	1.770705e-32	5.312115e-32	CMC.BRAIN.RNASEQ
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ/CMC.MMRN1.wgt.RDat	MMRN1	4	9.08e+07	9.09e+07	0.1121	rs356200	19.20	rs1442138	 0.077589	  6.75	 8.1552	 395	   7	lasso	0.102647	 1.81e-12	 10.20618	1.86e-24	1.86e-24	2.517975e-21	1.00719e-20	CMC.BRAIN.RNASEQ
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ/CMC.CD38.wgt.RDat	CD38	4	1.58e+07	1.59e+07	0.1440	rs4698412	-9.13	rs4263397	 0.087509	  7.09	-7.8626	 581	   5	lasso	0.136309	 2.90e-16	 -9.60442	7.66e-22	7.66e-22	8.29578e-19	4.14789e-18	CMC.BRAIN.RNASEQ
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ/CMC.GPNMB.wgt.RDat	GPNMB	7	2.33e+07	2.33e+07	0.3246	rs858239	-8.72	rs199347	 0.515841	-15.32	-8.53913	 427	 15	lasso	0.51325	 1.40e-72	 8.51339	1.69e-17	1.69e-17	1.525225e-14	9.15135e-14	CMC.BRAIN.RNASEQ
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ/CMC.NUPL2.wgt.RDat	NUPL2	7	2.32e+07	2.32e+07	0.1556	rs858239	-8.74	rs7808488	 0.289713	-11.72	-8.10256	 437	  6	lasso	0.28962	 1.62e-35	 8.34670	7.02e-17	7.02e-17	5.11040625e-14	3.80133e-13	CMC.BRAIN.RNASEQ
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ/CMC.IDUA.wgt.RDat	IDUA	4	9.81e+05	9.98e+05	0.0490	rs4690326	10.12	rs2061846	 0.033427	 -4.64	 5.4795	 398	   4	lasso	0.035063	 3.66e-05	 -8.33811	7.55e-17	7.55e-17	5.11040625e-14	4.088325e-13	CMC.BRAIN.RNASEQ
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ/CMC.RAB7L1.wgt.RDat	RAB7L1	1	2.06e+08	2.06e+08	0.0685	rs823114	-10.35	rs7522056	 2.61e-02	 -5.26	-7.42975	402	 16	enet	0.053376	 4.08e-07	 8.11914	4.69e-16	4.69e-16	2.82181666666667e-13	2.539635e-12	CMC.BRAIN.RNASEQ
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ/CMC.NSF.wgt.RDat	NSF	17	44668034	44834828	0.0973	rs199439	-14.88	rs183211	 9.15e-03	  3.87	-13.50694	205	205	blup	 0.04004	 1.08e-05	 -7.50156	6.31e-14	6.31e-14	3.416865e-11	3.416865e-10	CMC.BRAIN.RNASEQ
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ/CMC.CTSB.wgt.RDat	CTSB	8	1.17e+07	1.17e+07	0.1260	rs1293298	-6.64	rs1692821	 0.097665	  7.34	-6.6124	 425	 14	enet	0.09455	 1.42e-11	-7.4711	7.96e-14	7.96e-14	3.91849090909091e-11	4.31034e-10	CMC.BRAIN.RNASEQ
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ/CMC.TMEM163.wgt.RDat	TMEM163	2	1.35e+08	1.36e+08	0.0517	rs6430538	-9.59	rs17698151	 0.019224	 -4.18	-4.95031	597	  7	lasso	0.014545	 5.89e-03	 7.110746	1.15e-12	1.15e-12	5.189375e-10	6.22725e-09	CMC.BRAIN.RNASEQ
