FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000131591.13.C1orf159.wgt.RDat	C1orf159	1	1.02e+06	1.05e+06	0.341	rs4648611	 2.89	rs6678318	 0.25014	-5.15	-0.29091	206	 4	lasso	 0.23499	3.85e-07	 0.1486	0.881871
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000186891.9.TNFRSF18.wgt.RDat	TNFRSF18	1	1.14e+06	1.14e+06	0.455	rs4648611	 2.89	rs3813204	 0.36594	 5.98	-0.65641	216	 7	lasso	 0.35428	1.20e-10	-0.6246	0.532221
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000235098.4.ANKRD65.wgt.RDat	ANKRD65	1	1.35e+06	1.36e+06	0.268	rs4648611	 2.89	rs12089560	 0.08838	-4.58	 0.68284	274	12	enet	 0.13905	1.17e-04	-0.7159	0.474038
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000149527.13.PLCH2.wgt.RDat	PLCH2	1	2.36e+06	2.44e+06	0.274	rs11581548	 3.13	rs2494606	 0.02673	 3.24	-0.41727	353	17	enet	 0.04174	2.63e-02	 1.0963	0.272965
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000131697.13.NPHP4.wgt.RDat	NPHP4	1	5.92e+06	6.05e+06	0.283	rs9439603	-2.99	rs11576617	 0.14900	-5.03	-1.83851	534	 6	lasso	 0.19249	5.18e-06	 1.5196	0.128610
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000226849.1.RP4-635E18.7.wgt.RDat	RP4-635E18.7	1	1.11e+07	1.11e+07	0.172	rs284277	-3.87	rs2076655	 0.05006	 4.04	 1.92424	343	 4	lasso	 0.06736	6.38e-03	 1.9225	0.054539
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000177000.6.MTHFR.wgt.RDat	MTHFR	1	1.19e+07	1.19e+07	0.428	rs3117066	 3.02	rs6661145	-0.00671	-3.05	 0.73729	457	26	enet	 0.02213	8.03e-02	 0.9045	0.365728
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000142632.12.ARHGEF19.wgt.RDat	ARHGEF19	1	1.65e+07	1.65e+07	0.239	rs3979179	 2.62	rs221035	 0.23713	 4.91	-1.43077	320	16	lasso	 0.20518	2.41e-06	-1.4091	0.158813
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000226029.1.RP4-798A10.2.wgt.RDat	RP4-798A10.2	1	1.68e+07	1.68e+07	0.347	rs3979179	 2.62	rs157252	-0.00973	-3.82	 0.33600	227	 3	lasso	 0.01282	1.40e-01	-0.3408	0.733246
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cortex/GTEx.Brain_Cortex.ENSG00000186301.7.MST1P2.wgt.RDat	MST1P2	1	1.70e+07	1.70e+07	0.254	rs9435739	-3.42	rs149562	 0.06563	 4.26	 0.01290	254	 5	lasso	 0.06655	6.67e-03	 0.1756	0.860605
