FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000186891.9.TNFRSF18.wgt.RDat	TNFRSF18	1	1.14e+06	1.14e+06	0.548	rs4648611	  2.89	rs4297230	 0.29237	 5.26	-0.6392	216	 6	lasso	 0.21068	1.10e-05	-0.7770	4.37e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000162576.12.MXRA8.wgt.RDat	MXRA8	1	1.29e+06	1.30e+06	0.448	rs4648611	  2.89	rs28391282	 0.25161	 4.62	-0.6341	247	 4	lasso	 0.16472	1.11e-04	-0.0443	9.65e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000142632.12.ARHGEF19.wgt.RDat	ARHGEF19	1	1.65e+07	1.65e+07	0.512	rs3979179	  2.62	rs221045	 0.43288	 5.97	-1.4341	320	 3	lasso	 0.36490	1.80e-09	-1.4769	1.40e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000186301.7.MST1P2.wgt.RDat	MST1P2	1	1.70e+07	1.70e+07	0.405	rs9435739	 -3.42	rs149562	 0.07162	 3.97	 0.0129	254	 6	lasso	 0.18876	3.36e-05	 0.8848	3.76e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000186715.6.MST1L.wgt.RDat	MST1L	1	1.71e+07	1.71e+07	0.261	rs9435739	 -3.42	rs6691985	 0.21752	 4.28	-0.3615	282	 5	lasso	 0.19591	2.34e-05	 0.2424	8.08e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000238142.1.RP11-108M9.4.wgt.RDat	RP11-108M9.4	1	1.72e+07	1.72e+07	0.262	rs9435739	 -3.42	rs157252	 0.04830	 4.39	 0.3360	326	 6	lasso	 0.16167	1.29e-04	 0.0809	9.36e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000127463.9.EMC1.wgt.RDat	EMC1	1	1.95e+07	1.96e+07	0.241	rs6669110	  3.27	rs6663221	 0.09224	-3.83	-2.9649	516	 8	lasso	 0.06785	1.12e-02	 1.9493	5.13e-02
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000169914.5.OTUD3.wgt.RDat	OTUD3	1	2.02e+07	2.02e+07	0.514	rs6669110	  3.27	rs12117495	 0.34780	 5.70	-1.0172	538	 7	lasso	 0.24681	1.66e-06	-1.0192	3.08e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000188257.6.PLA2G2A.wgt.RDat	PLA2G2A	1	2.03e+07	2.03e+07	0.521	rs6669110	  3.27	rs12137940	-0.01110	 3.56	-0.8615	506	14	enet	-0.00360	4.00e-01	-1.0380	2.99e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000218510.3.LINC00339.wgt.RDat	LINC00339	1	2.24e+07	2.24e+07	0.413	rs3767142	 -3.35	rs1063117	 0.07544	 4.40	 1.5113	498	 8	lasso	 0.13349	5.06e-04	 1.3425	1.79e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000157978.7.LDLRAP1.wgt.RDat	LDLRAP1	1	2.59e+07	2.59e+07	0.382	rs631133	 -4.42	rs6687605	 0.31177	 5.52	 1.5714	344	 8	enet	 0.29996	8.75e-08	 1.7603	7.84e-02
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000142684.7.ZNF593.wgt.RDat	ZNF593	1	2.65e+07	2.65e+07	0.386	rs4354529	 -2.82	rs11247870	 0.10526	-4.34	-0.1933	426	 6	lasso	 0.15011	2.27e-04	 0.2766	7.82e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000236782.1.RP11-96L14.7.wgt.RDat	RP11-96L14.7	1	2.65e+07	2.65e+07	0.418	rs4354529	 -2.82	rs11247870	 0.10085	-4.37	-0.1933	426	 5	lasso	 0.15951	1.43e-04	 0.2147	8.30e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000142675.13.CNKSR1.wgt.RDat	CNKSR1	1	2.65e+07	2.65e+07	0.283	rs4354529	 -2.82	rs11247860	 0.24526	-4.85	 0.3932	425	 2	lasso	 0.27482	3.60e-07	-0.2187	8.27e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000270605.1.RP5-1092A3.4.wgt.RDat	RP5-1092A3.4	1	2.86e+07	2.86e+07	0.362	rs12090855	 -2.47	rs476843	 0.31373	-5.15	 0.1148	251	 4	lasso	 0.25821	8.96e-07	 0.0234	9.81e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000272491.1.RP5-1024N4.4.wgt.RDat	RP5-1024N4.4	1	4.87e+07	4.87e+07	0.266	rs2063712	 -3.72	rs1056042	 0.07399	 4.46	 1.0088	465	 9	lasso	 0.11746	1.09e-03	 0.9579	3.38e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000236360.1.RP11-334A14.2.wgt.RDat	RP11-334A14.2	1	5.35e+07	5.35e+07	0.431	rs6679249	  3.46	rs11581638	-0.00841	 3.62	 1.0554	429	 5	lasso	-0.00453	4.25e-01	 1.5140	1.30e-01
