FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000224956.5.RP11-206L10.1.wgt.RDat	RP11-206L10.1	1	6.62e+05	6.64e+05	0.306	NA	   NA	NA	      NA	   NA	     NA	114	 0	enet	 0.00695	2.04e-01	     NA	     NA
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000157911.5.PEX10.wgt.RDat	PEX10	1	2.34e+06	2.35e+06	0.409	rs11581548	 3.13	rs6671420	 0.19631	-4.37	-1.2697	334	 9	lasso	 0.14441	1.10e-04	 0.8089	0.41855
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000169598.11.DFFB.wgt.RDat	DFFB	1	3.77e+06	3.80e+06	0.472	rs6661168	 2.08	rs12756705	 0.28628	-5.29	-0.0538	447	 5	lasso	 0.26154	1.13e-07	 0.6253	0.53177
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000131697.13.NPHP4.wgt.RDat	NPHP4	1	5.92e+06	6.05e+06	0.314	rs9439603	-2.99	rs806111	 0.10627	-4.21	 0.7087	534	 6	lasso	 0.12561	3.11e-04	-1.0878	0.27666
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000242349.1.NPPA-AS1.wgt.RDat	NPPA-AS1	1	1.19e+07	1.19e+07	0.323	rs3117066	 3.02	rs17037915	 0.00553	 3.88	 0.5089	451	43	enet	 0.05041	1.78e-02	 2.1756	0.02958
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000127463.9.EMC1.wgt.RDat	EMC1	1	1.95e+07	1.96e+07	0.396	rs6669110	 3.27	rs3748759	 0.30549	-5.38	-2.8125	516	11	lasso	 0.26410	9.67e-08	 2.7213	0.00650
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000053372.4.MRTO4.wgt.RDat	MRTO4	1	1.96e+07	1.96e+07	0.239	rs6669110	 3.27	rs10917277	 0.12792	-4.22	-0.9924	492	 5	lasso	 0.12568	3.10e-04	 1.3057	0.19165
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000169914.5.OTUD3.wgt.RDat	OTUD3	1	2.02e+07	2.02e+07	0.529	rs6669110	 3.27	rs10916668	 0.24131	 5.87	-0.9827	538	13	enet	 0.28152	3.20e-08	-0.8904	0.37326
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000127472.6.PLA2G5.wgt.RDat	PLA2G5	1	2.04e+07	2.04e+07	0.467	rs4655165	 2.65	rs668630	 0.03304	-3.92	 0.1705	559	10	lasso	 0.10789	8.15e-04	-0.5517	0.58118
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000142794.14.NBPF3.wgt.RDat	NBPF3	1	2.18e+07	2.18e+07	0.388	rs3767142	-3.35	rs7537914	 0.26612	 5.84	-1.0310	390	12	enet	 0.30485	6.98e-09	-0.5162	0.60572
