FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000204650.9.CRHR1-IT1.wgt.RDat	CRHR1-IT1	17	43697694	43725582	0.175	rs17689882	-15.80	rs17763086	 0.154392	 4.15	-15.7908	 87	 1	lasso	 0.14200	7.15e-05	-15.7908	3.60e-56	3.6e-56	3.4308e-53	3.4308e-53	GTEx.Brain_Caudate_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.377	rs17689882	-15.80	rs17689471	 0.619406	 7.83	-15.6863	 27	 5	lasso	 0.61885	2.98e-22	-15.7414	7.87e-56	7.87e-56	3.750055e-53	7.50011e-53	GTEx.Brain_Caudate_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.341	rs17689882	-15.80	rs8072451	 0.423569	-6.63	-15.6405	149	 1	lasso	 0.41989	2.52e-13	 15.6405	3.86e-55	3.86e-55	1.22619333333333e-52	3.67858e-52	GTEx.Brain_Caudate_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000238083.3.LRRC37A2.wgt.RDat	LRRC37A2	17	44588877	44630815	0.437	rs199439	-14.88	rs199513	 0.622015	 7.89	-14.1032	130	34	enet	 0.67553	1.16e-25	-14.2887	2.58e-46	2.58e-46	6.14685e-44	2.45874e-43	GTEx.Brain_Caudate_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000176681.10.LRRC37A.wgt.RDat	LRRC37A	17	44370099	44415160	0.579	rs17689882	-15.80	rs183211	 0.274474	 5.28	-13.5069	 75	14	lasso	 0.56637	1.62e-19	-10.4583	1.34e-25	1.34e-25	2.55404e-23	1.27702e-22	GTEx.Brain_Caudate_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000069275.12.NUCKS1.wgt.RDat	NUCKS1	1	2.06e+08	2.06e+08	0.2519	rs823114	-10.35	rs823114	 0.234655	 5.03	-10.34821	407	 3	lasso	 0.25014	8.14e-08	10.3729	3.29e-25	3.29e-25	5.22561666666667e-23	3.13537e-22	GTEx.Brain_Caudate_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000136235.11.GPNMB.wgt.RDat	GPNMB	7	2.33e+07	2.33e+07	0.1979	rs858239	-8.71	rs199357	 0.240144	-5.38	-8.4174	415	11	enet	 0.25701	5.15e-08	 8.6166	6.90e-18	6.9e-18	9.39385714285714e-16	6.5757e-15	GTEx.Brain_Caudate_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000226314.3.ZNF192P1.wgt.RDat	ZNF192P1	6	28129559	28137372	0.153	rs4713118	 7.16	rs4713135	 0.078961	 4.24	 4.8456	457	 5	lasso	 0.04723	1.74e-02	 5.060	4.20e-07	4.2e-07	5.00325e-05	0.00040026	GTEx.Brain_Caudate_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000145217.9.SLC26A1.wgt.RDat	SLC26A1	4	9.73e+05	9.87e+05	0.266	rs4690326	10.12	rs3822020	 0.13316	 5.05	 3.7265	 380	 2	lasso	 0.18086	6.82e-06	 4.94203	7.73e-07	7.73e-07	8.18521111111111e-05	0.000736669	GTEx.Brain_Caudate_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000213672.3.NCKIPSD.wgt.RDat	NCKIPSD	3	4.87e+07	4.87e+07	0.178	rs12497850	 -5.74	rs12493578	 0.152990	-4.91	-5.44068	 256	 3	lasso	 0.19876	2.24e-06	 4.77265	1.82e-06	1.82e-06	0.000173446	0.00173446	GTEx.Brain_Caudate_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000178226.6.PRSS36.wgt.RDat	PRSS36	16	31150246	31161415	0.163	rs9938550	-6.82	rs11865499	 0.24826	 5.03	-4.51969	241	 3	lasso	0.2338	2.39e-07	-4.5757	4.75e-06	4.75e-06	0.000411522727272727	0.00452675	GTEx.Brain_Caudate_basal_ganglia
