FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.358	rs17689882	-15.80	rs8072451	 0.416194	-5.96	-15.6405	149	 2	lasso	 0.411291	8.84e-11	 15.6528	3.18e-55	3.18e-55	1.73628e-52	1.73628e-52	GTEx.Brain_Hippocampus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.379	rs17689882	-15.80	rs8072451	 0.478775	 6.57	-15.6405	 27	18	enet	 0.492954	2.40e-13	-15.2996	7.69e-53	7.69e-53	2.09937e-50	4.19874e-50	GTEx.Brain_Hippocampus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000238083.3.LRRC37A2.wgt.RDat	LRRC37A2	17	44588877	44630815	0.435	rs199439	-14.88	rs169201	 0.561311	 6.87	-14.8710	130	 9	lasso	 0.582987	1.09e-16	-14.7712	2.25e-49	2.25e-49	4.095e-47	1.2285e-46	GTEx.Brain_Hippocampus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000204650.9.CRHR1-IT1.wgt.RDat	CRHR1-IT1	17	43697694	43725582	0.199	rs17689882	-15.80	rs17689471	 0.248905	 4.83	-15.6863	 87	15	enet	 0.244779	1.85e-06	-14.4208	3.83e-47	3.83e-47	5.22795e-45	2.09118e-44	GTEx.Brain_Hippocampus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000176681.10.LRRC37A.wgt.RDat	LRRC37A	17	44370099	44415160	0.521	rs17689882	-15.80	rs199513	 0.180561	 4.73	-14.1032	 75	27	enet	 0.440889	1.15e-11	-10.4668	1.23e-25	1.23e-25	1.34316e-23	6.7158e-23	GTEx.Brain_Hippocampus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000103932.7.RPAP1.wgt.RDat	RPAP1	15	4.18e+07	4.18e+07	0.296	rs2297380	-4.93	rs2253936	 0.148586	-4.10	 4.8087	363	16	enet	0.1924	2.80e-05	-4.830	1.37e-06	1.37e-06	0.00012467	0.00074802	GTEx.Brain_Hippocampus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000069275.12.NUCKS1.wgt.RDat	NUCKS1	1	2.06e+08	2.06e+08	0.571	rs823114	-10.35	rs823154	 0.03005	-3.79	 3.7281	407	 8	lasso	 0.10995	1.55e-03	-4.7857	1.70e-06	1.7e-06	0.0001326	0.0009282	GTEx.Brain_Hippocampus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000262879.1.RP11-156P1.3.wgt.RDat	RP11-156P1.3	17	45061411	45177689	0.320	rs199439	-14.88	rs17676978	 0.027387	 3.89	 -0.5754	291	20	enet	 0.013623	1.52e-01	 -3.9956	6.45e-05	6.45e-05	0.004402125	0.035217	GTEx.Brain_Hippocampus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000215032.2.GNL3LP1.wgt.RDat	GNL3LP1	5	6.02e+07	6.02e+07	0.513	rs976080	 7.48	rs7723901	 0.03545	 3.59	-3.9573	317	 2	enet	0.13780	4.11e-04	-3.9565	7.61e-05	7.61e-05	0.00461673333333333	0.0415506	GTEx.Brain_Hippocampus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hippocampus/GTEx.Brain_Hippocampus.ENSG00000213672.3.NCKIPSD.wgt.RDat	NCKIPSD	3	4.87e+07	4.87e+07	0.268	rs12497850	-5.74	rs12493578	 0.00731	-3.91	-5.4407	 256	11	lasso	 0.03816	4.54e-02	 3.9195	8.88e-05	8.88e-05	0.00484848	0.0484848	GTEx.Brain_Hippocampus
