gene	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
ENSG00000176681	LRRC37A	-14.9783617568	-0.299042933751	1.01692924663e-50	0.21853282085	0.589343973813	1.69321503043e-18	2.44316309157e-16	24	29	29	1.01692924663e-50	4.23652724146058e-47	4.23652724146058e-47	Brain_Cerebellar_Hemisphere
ENSG00000238083	LRRC37A2	-14.8968720848	-0.322063071019	3.45373604129e-50	0.185122423334	0.578588509951	5.26003827966e-18	6.31817656151e-16	42	47	47	3.45373604129e-50	7.19413217400707e-47	1.43882643480141e-46	Brain_Cerebellar_Hemisphere
ENSG00000225190	PLEKHM1	13.9483549049	0.281999769562	3.21945930303e-44	0.219694481305	0.477640305523	6.57471127624e-14	2.09520639757e-12	24	39	39	3.21945930303e-44	4.47075581880766e-41	1.3412267456423e-40	Brain_Cerebellar_Hemisphere
ENSG00000185829	ARL17A	-13.6967860551	-0.275235197594	1.06118480201e-42	0.207361062639	0.600353362052	5.14577679658e-19	9.45318646074e-17	38	55	55	1.06118480201e-42	1.10522397129341e-39	4.42089588517366e-39	Brain_Cerebellar_Hemisphere
ENSG00000186868	MAPT	12.3720018402	0.592589980284	3.70471538737e-35	0.032166308328	0.219936844272	3.56081046072e-06	1.27822058065e-05	11	30	30	3.70471538737e-35	3.08676886075668e-32	1.54338443037834e-31	Brain_Cerebellar_Hemisphere
ENSG00000184922	FMNL1	10.7057937436	0.434929845021	9.56077612734e-27	0.0527417470785	0.229149738047	2.08423913695e-06	8.02606908756e-06	16	25	25	9.56077612734e-27	6.63836555774974e-24	3.98301933464984e-23	Brain_Cerebellar_Hemisphere
ENSG00000185294	SPPL2C	-10.0754868622	-1.00289579183	7.09087354138e-24	0.00756646115585	0.125232580841	0.000668660147541	0.00113061500711	8	19	19	7.09087354138e-24	4.22008273905558e-21	2.95405791733891e-20	Brain_Cerebellar_Hemisphere
ENSG00000136243	NUPL2	8.62345159822	0.115211634997	6.49656415853e-18	0.323576307105	0.537304173231	3.17740681907e-16	1.98462757039e-14	36	36	36	6.49656415853e-18	3.3830857855545e-15	2.7064686284436e-14	Brain_Cerebellar_Hemisphere
ENSG00000136235	GPNMB	8.43312833609	0.177608491246	3.36545282585e-17	0.149569988978	0.196015843318	1.39606666897e-05	4.2084541925e-05	19	21	21	3.36545282585e-17	1.55783071916568e-14	1.40204764724911e-13	Brain_Cerebellar_Hemisphere
ENSG00000145217	SLC26A1	7.709749976	0.113967322313	1.2606446602e-14	0.283642258647	0.342621475447	1.69662170279e-09	1.53582638506e-08	42	63	63	1.2606446602e-14	5.2518456543932e-12	5.2518456543932e-11	Brain_Cerebellar_Hemisphere
ENSG00000136448	NMT1	6.48323087004	0.164867822537	8.97789551116e-11	0.114614996381	0.222962229519	2.98830738628e-06	1.09665976367e-05	39	55	55	8.97789551116e-11	3.40017388177205e-08	3.74019126994926e-07	Brain_Cerebellar_Hemisphere
ENSG00000196812	ZSCAN16	-6.43474792066	-0.319762306683	1.2367841369e-10	0.0260837573096	0.0444298163328	0.0473946473646	0.0379122086764	13	19	19	1.2367841369e-10	4.29370226193783e-08	5.1524427143254e-07	Brain_Cerebellar_Hemisphere
ENSG00000103510	KAT8	-5.92034986542	-0.11389988161	3.2125745137e-09	0.188158029796	0.276783237881	1.19150696287e-07	6.47702933745e-07	16	17	17	3.2125745137e-09	1.02950657108263e-06	1.33835854240742e-05	Brain_Cerebellar_Hemisphere
ENSG00000214871	AC005082.1	5.69095684975	0.100452983207	1.26329432531e-08	0.201981610762	0.139211175732	0.000316855602569	0.000605970395336	60	64	64	1.26329432531e-08	3.75920297088676e-06	5.26288415924146e-05	Brain_Cerebellar_Hemisphere
ENSG00000108379	WNT3	-5.4964825088	-0.147057727979	3.87441503926e-08	0.10204289115	0.280274224845	9.59746202967e-08	5.32383036682e-07	7	9	9	3.87441503926e-08	1.07605420357048e-05	0.000161408130535572	Brain_Cerebellar_Hemisphere
ENSG00000168517	HEXIM2	5.26348592886	0.142531967607	1.41349330678e-07	0.0785668955885	0.0395037280099	0.061870374679	0.0467739182677	25	38	38	1.41349330678e-07	3.68038319752842e-05	0.000588861311604548	Brain_Cerebellar_Hemisphere
ENSG00000178252	WDR6	-5.08066072865	-0.139405800479	3.7612434136e-07	0.0794571513572	0.125655849895	0.000653773692454	0.00110784322705	12	12	12	3.7612434136e-07	9.21725885944565e-05	0.00156693400610576	Brain_Cerebellar_Hemisphere
ENSG00000124635	HIST1H2BJ	4.43413964661	0.139346186659	9.24406957814e-06	0.0554430303277	0.0568312339732	0.0244652287096	0.0226052222417	17	19	19	9.24406957814e-06	0.0021350007242062	0.0385107938625312	Brain_Cerebellar_Hemisphere
ENSG00000117280	RAB7L1	4.42292929919	0.116261437981	9.73716124818e-06	0.0974809646466	0.175677511502	4.34804723258e-05	0.000111030935106	20	23	23	9.73716124818e-06	0.0021350007242062	0.0405650137599179	Brain_Cerebellar_Hemisphere
ENSG00000214447	FAM187A	4.38033344834	0.139852326889	1.1849783593e-05	0.0732024435341	0.0654088069225	0.0155622443698	0.0156123871177	41	46	46	1.1849783593e-05	0.0024683099224219	0.049366198448438	Brain_Cerebellar_Hemisphere
ENSG00000163938	GNL3	-4.36461955705	-0.116764860587	1.27344187818e-05	0.0759047477891	0.19049417363	1.90466370432e-05	5.51281048026e-05	10	11	11	1.27344187818e-05	0.00252626612595137	0.0530515886449788	Brain_Cerebellar_Hemisphere
ENSG00000187987	ZSCAN23	4.21828644094	0.158132965658	2.46165972076e-05	0.0459667083223	0.191405079814	1.80972521923e-05	5.27714915054e-05	15	21	21	2.46165972076e-05	0.00460890404515392	0.102552743966862	Brain_Cerebellar_Hemisphere
ENSG00000198315	ZKSCAN8	-4.21081397212	-0.100503972433	2.54452215647e-05	0.100229185201	0.1164984577	0.00106276090316	0.00166618199256	55	62	62	2.54452215647e-05	0.00460890404515392	0.10600479303854	Brain_Cerebellar_Hemisphere
ENSG00000115041	KCNIP3	-4.16838347366	-0.183184618338	3.06767520732e-05	0.0553467029237	0.0811732979623	0.0068065710625	0.00794749911437	10	24	24	3.06767520732e-05	0.0053249728807063	0.127799349136951	Brain_Cerebellar_Hemisphere
ENSG00000198218	QRICH1	-4.11559113898	-0.158614933332	3.86188358181e-05	0.04312394238	0.172651736356	5.13914984638e-05	0.000128192658281	17	20	20	3.86188358181e-05	0.00643544280072818	0.160886070018205	Brain_Cerebellar_Hemisphere
ENSG00000145730	PAM	-4.04933142133	-0.0922994852402	5.13641617627e-05	0.113093174999	0.122830095493	0.000759728392646	0.00125603748506	35	37	37	5.13641617627e-05	0.00823011915013108	0.213983097903408	Brain_Cerebellar_Hemisphere
ENSG00000110057	UNC93B1	-4.0192021534	-0.179133428898	5.83955517167e-05	0.0616361223074	0.164240841488	8.15946313814e-05	0.000189747652592	37	52	52	5.83955517167e-05	0.00878563213139691	0.243275868451772	Brain_Cerebellar_Hemisphere
ENSG00000113621	TXNDC15	-4.00221606516	-0.0478145205864	6.27519523267e-05	0.349543900584	0.345590892665	1.38769390103e-09	1.27465003978e-08	45	49	49	6.27519523267e-05	0.00878563213139691	0.261424633393032	Brain_Cerebellar_Hemisphere
ENSG00000204642	HLA-F	-4.00131814412	-0.745893321694	6.29905972079e-05	0.00194890023246	0.198322132822	1.22556318291e-05	3.76349162819e-05	6	33	33	6.29905972079e-05	0.00878563213139691	0.262418827968111	Brain_Cerebellar_Hemisphere
ENSG00000241370	RPP21	-4.00028339125	-0.275180269956	6.32666740139e-05	0.0164386139473	0.0444194453667	0.0474211134249	0.0379154058597	6	10	10	6.32666740139e-05	0.00878563213139691	0.263568963941907	Brain_Cerebellar_Hemisphere
ENSG00000155066	PROM2	3.90665787278	0.154420565375	9.35815089959e-05	0.0506702993333	0.141746603095	0.00027650094194	0.000540038040443	6	16	16	9.35815089959e-05	0.0125761473057071	0.389860566476919	Brain_Cerebellar_Hemisphere
ENSG00000120896	SORBS3	3.86868982708	0.139642900665	0.000109421731073	0.0528827065997	0.0644777468632	0.0163434959976	0.0162448229226	30	34	34	0.000109421731073	0.0142453416140662	0.455850931650118	Brain_Cerebellar_Hemisphere
ENSG00000178226	PRSS36	-3.85381489117	-0.0741881073114	0.000116291530486	0.172725298873	0.162941348757	8.760907825e-05	0.00020147703104	50	50	50	0.000116291530486	0.0146809247274144	0.484470516004676	Brain_Cerebellar_Hemisphere
ENSG00000161609	CCDC155	-3.84295308812	-0.0644451785468	0.000121562711684	0.261281274441	0.585565357715	2.52984466488e-18	3.2919923362e-16	47	50	50	0.000121562711684	0.0148950075551631	0.506430256875544	Brain_Cerebellar_Hemisphere
ENSG00000188672	RHCE	3.80392862924	0.122667650136	0.000142419228935	0.0768014959745	0.217210190558	4.16813716919e-06	1.46921205188e-05	12	15	15	0.000142419228935	0.0165547704814341	0.59331850774321	Brain_Cerebellar_Hemisphere
ENSG00000167395	ZNF646	-3.80279576174	-0.0886910736946	0.000143072302614	0.12756863311	0.08677773421	0.00507477594504	0.00620786493176	31	39	39	0.000143072302614	0.0165547704814341	0.596039212689924	Brain_Cerebellar_Hemisphere
ENSG00000138175	ARL3	-3.79603308219	-0.0557204634743	0.000147029886657	0.343049953089	0.19535558576	1.44902997737e-05	4.34713214378e-05	73	82	82	0.000147029886657	0.0165547704814341	0.612526507813062	Brain_Cerebellar_Hemisphere
