FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000131591.13.C1orf159.wgt.RDat	C1orf159	1	1.02e+06	1.05e+06	0.347	rs4648611	  2.89	rs6687776	 0.066259	-3.88	-0.2788	206	 8	lasso	 0.10361	1.97e-03	 0.3103	7.56e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000272106.1.RP11-345P4.9.wgt.RDat	RP11-345P4.9	1	1.55e+06	1.55e+06	0.318	rs28637822	  2.98	rs4648611	 0.212191	 4.33	 2.8905	272	 3	lasso	 0.13446	4.47e-04	 2.1604	3.07e-02
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000204859.7.ZBTB48.wgt.RDat	ZBTB48	1	6.64e+06	6.65e+06	0.535	rs17030129	 -3.12	rs1052598	-0.012420	-2.97	-0.3574	426	45	enet	 0.00636	2.22e-01	-1.8217	6.85e-02
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000198793.8.MTOR.wgt.RDat	MTOR	1	1.12e+07	1.13e+07	0.353	rs284277	 -3.87	rs2076492	-0.010435	 3.12	 2.3464	408	34	enet	 0.06099	1.49e-02	 1.4209	1.55e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000127463.9.EMC1.wgt.RDat	EMC1	1	1.95e+07	1.96e+07	0.283	rs6669110	  3.27	rs710865	 0.276837	-5.10	-2.2991	516	 5	lasso	 0.24478	1.59e-06	 2.4169	1.57e-02
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000169914.5.OTUD3.wgt.RDat	OTUD3	1	2.02e+07	2.02e+07	0.355	rs6669110	  3.27	rs2315059	 0.108985	 3.86	-0.8523	538	16	enet	 0.03689	4.72e-02	-1.3154	1.88e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000157978.7.LDLRAP1.wgt.RDat	LDLRAP1	1	2.59e+07	2.59e+07	0.344	rs631133	 -4.42	rs11806326	 0.177364	 4.39	 1.8435	344	 4	lasso	 0.17401	6.34e-05	 2.1898	2.85e-02
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000270605.1.RP5-1092A3.4.wgt.RDat	RP5-1092A3.4	1	2.86e+07	2.86e+07	0.473	rs12090855	 -2.47	rs905909	 0.307066	-5.30	-0.0488	251	 5	lasso	 0.28258	1.97e-07	-0.0531	9.58e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000084072.12.PPIE.wgt.RDat	PPIE	1	4.02e+07	4.02e+07	0.261	rs3122438	  2.65	rs7518431	 0.265933	 4.80	-0.3150	403	13	enet	 0.27059	3.86e-07	-1.0584	2.90e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000272145.1.RP4-739H11.4.wgt.RDat	RP4-739H11.4	1	4.12e+07	4.12e+07	0.243	rs10489165	  2.38	rs570671	 0.091414	 3.76	-1.2817	404	 7	lasso	 0.05138	2.35e-02	-1.2113	2.26e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000225721.1.RP11-269F19.2.wgt.RDat	RP11-269F19.2	1	4.52e+07	4.52e+07	0.200	rs17393206	 -3.24	rs4342887	 0.113355	-4.07	-1.7400	349	11	lasso	 0.08301	5.25e-03	 1.9724	4.86e-02
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000236624.4.CCDC163P.wgt.RDat	CCDC163P	1	4.60e+07	4.60e+07	0.430	rs6688723	 -3.82	rs2991966	 0.472072	 6.30	 0.5122	276	 7	lasso	 0.48310	3.67e-13	 0.5381	5.91e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000085999.7.RAD54L.wgt.RDat	RAD54L	1	4.67e+07	4.67e+07	0.299	rs11584024	 -2.94	rs17102086	 0.035010	 3.79	 0.1316	349	30	enet	 0.06196	1.42e-02	 0.2249	8.22e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000162383.7.SLC1A7.wgt.RDat	SLC1A7	1	5.36e+07	5.36e+07	0.362	rs7518390	  2.98	rs3737989	 0.265192	 5.31	-1.0325	493	 3	lasso	 0.21338	8.46e-06	-0.8795	3.79e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Putamen_basal_ganglia/GTEx.Brain_Putamen_basal_ganglia.ENSG00000142856.12.ITGB3BP.wgt.RDat	ITGB3BP	1	6.39e+07	6.40e+07	0.599	rs12142862	  2.72	rs855316	 0.421639	 6.15	-1.8000	556	 7	lasso	 0.40756	8.69e-11	-1.8466	6.48e-02
