FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.273	rs17689882	-15.80	rs8072451	 0.29457	-5.87	-15.6405	149	12	enet	0.28397	2.73e-08	 15.713	1.23e-55	1.23e-55	1.09962e-52	1.09962e-52	GTEx.Brain_Nucleus_accumbens_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.397	rs17689882	-15.80	rs8072451	 0.61453	 7.56	-15.6405	 27	 3	lasso	0.61266	1.88e-20	-15.664	2.65e-55	2.65e-55	1.18455e-52	2.3691e-52	GTEx.Brain_Nucleus_accumbens_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000159314.7.ARHGAP27.wgt.RDat	ARHGAP27	17	43471275	43511787	0.263	rs17689882	-15.80	rs17689471	 0.15679	 4.31	-15.6863	204	 8	lasso	0.12336	3.52e-04	-15.531	2.13e-54	2.13e-54	6.3474e-52	1.90422e-51	GTEx.Brain_Nucleus_accumbens_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000204650.9.CRHR1-IT1.wgt.RDat	CRHR1-IT1	17	43697694	43725582	0.142	rs17689882	-15.80	rs8072451	 0.11967	 4.74	-15.6405	 87	14	enet	0.14400	1.13e-04	-15.235	2.07e-52	2.07e-52	4.62645e-50	1.85058e-49	GTEx.Brain_Nucleus_accumbens_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000238083.3.LRRC37A2.wgt.RDat	LRRC37A2	17	44588877	44630815	0.457	rs199439	-14.88	rs199439	 0.62538	 7.78	-14.8839	130	11	lasso	0.66314	3.38e-23	-14.761	2.60e-49	2.6e-49	4.6488e-47	2.3244e-46	GTEx.Brain_Nucleus_accumbens_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000108379.5.WNT3.wgt.RDat	WNT3	17	44839872	44910424	0.221	rs199439	-14.88	rs199501	 0.08031	 3.44	-12.9592	246	 3	lasso	0.00780	1.94e-01	-12.761	2.72e-37	2.72e-37	4.0528e-35	2.43168e-34	GTEx.Brain_Nucleus_accumbens_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000176681.10.LRRC37A.wgt.RDat	LRRC37A	17	44370099	44415160	0.603	rs17689882	-15.80	rs183211	 0.26564	 5.04	-13.5069	 75	13	lasso	0.55915	6.63e-18	 -9.795	1.18e-22	1.18e-22	1.50702857142857e-20	1.05492e-19	GTEx.Brain_Nucleus_accumbens_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000136243.12.NUPL2.wgt.RDat	NUPL2	7	2.32e+07	2.32e+07	0.243	rs858239	-8.73	rs6961109	 0.19692	-5.06	-7.9098	423	11	enet	 0.216689	1.75e-06	 8.2802	1.23e-16	1.23e-16	1.374525e-14	1.09962e-13	GTEx.Brain_Nucleus_accumbens_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000136235.11.GPNMB.wgt.RDat	GPNMB	7	2.33e+07	2.33e+07	0.368	rs858239	-8.71	rs199348	 0.19496	-5.17	-8.3826	415	50	enet	 0.248749	2.51e-07	 6.3402	2.29e-10	2.29e-10	2.27473333333333e-08	2.04726e-07	GTEx.Brain_Nucleus_accumbens_basal_ganglia
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Nucleus_accumbens_basal_ganglia/GTEx.Brain_Nucleus_accumbens_basal_ganglia.ENSG00000103510.15.KAT8.wgt.RDat	KAT8	16	31127075	31142714	0.191	rs9938550	-6.82	rs1549293	 0.129562	-4.12	 6.13675	 240	 4	lasso	 0.181407	1.37e-05	-6.2068	5.41e-10	5.41e-10	4.83654e-08	4.83654e-07	GTEx.Brain_Nucleus_accumbens_basal_ganglia
