FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000224956.5.RP11-206L10.1.wgt.RDat	RP11-206L10.1	1	6.62e+05	6.64e+05	0.2708	rs12092254	 -1.59	rs2465126	-0.003788	-2.97	 -0.76456	114	 6	lasso	 0.01623	1.09e-01	 0.2590	7.96e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000131591.13.C1orf159.wgt.RDat	C1orf159	1	1.02e+06	1.05e+06	0.4223	rs4648611	  2.89	rs6687776	 0.154089	-4.24	 -0.27879	206	15	enet	 0.12710	1.73e-04	-0.5240	6.00e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000260179.1.RP5-902P8.12.wgt.RDat	RP5-902P8.12	1	1.19e+06	1.19e+06	0.2464	rs4648611	  2.89	rs7515488	 0.191577	 4.78	 -0.32759	220	 3	lasso	 0.09207	1.32e-03	-0.3589	7.20e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000235098.4.ANKRD65.wgt.RDat	ANKRD65	1	1.35e+06	1.36e+06	0.2318	rs4648611	  2.89	rs2765021	 0.060212	-3.95	  0.30303	274	18	enet	 0.09681	1.01e-03	-0.8436	3.99e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000225285.1.RP4-758J18.10.wgt.RDat	RP4-758J18.10	1	1.37e+06	1.37e+06	0.2023	rs4648611	  2.89	rs2235537	-0.007762	 3.06	  1.09302	273	 5	lasso	 0.02710	5.64e-02	-0.6157	5.38e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000131697.13.NPHP4.wgt.RDat	NPHP4	1	5.92e+06	6.05e+06	0.2609	rs9439603	 -2.99	rs12745395	 0.102894	 4.20	  0.92126	534	 5	lasso	 0.09329	1.23e-03	 1.0883	2.76e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000054523.12.KIF1B.wgt.RDat	KIF1B	1	1.03e+07	1.04e+07	0.2490	rs284277	 -3.87	rs6687430	-0.002218	 3.45	  0.98246	401	 5	lasso	 0.01549	1.14e-01	 1.3654	1.72e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000226849.1.RP4-635E18.7.wgt.RDat	RP4-635E18.7	1	1.11e+07	1.11e+07	0.4895	rs284277	 -3.87	rs12066915	-0.002732	-3.72	 -0.03676	343	 8	lasso	 0.02128	8.00e-02	 1.0200	3.08e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000162461.7.SLC25A34.wgt.RDat	SLC25A34	1	1.61e+07	1.61e+07	0.3610	rs3979179	  2.62	rs12744547	 0.120965	-4.58	  0.22857	423	 8	lasso	 0.15356	3.58e-05	 0.0529	9.58e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Caudate_basal_ganglia/GTEx.Brain_Caudate_basal_ganglia.ENSG00000233929.1.MT1XP1.wgt.RDat	MT1XP1	1	1.66e+07	1.66e+07	0.3440	rs3979179	  2.62	rs6672616	 0.021214	 3.90	 -1.37063	300	31	enet	 0.06258	7.18e-03	-1.1137	2.65e-01
