FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000176022.3.B3GALT6.wgt.RDat	B3GALT6	1	1.17e+06	1.17e+06	0.297	rs4648611	  2.89	rs3766186	 0.17051	-5.21	-0.23232	220	 4	lasso	 0.151145	3.20e-05	 0.1183	9.06e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000235098.4.ANKRD65.wgt.RDat	ANKRD65	1	1.35e+06	1.36e+06	0.418	rs4648611	  2.89	rs12089560	 0.00696	-4.19	 0.68284	274	 8	lasso	 0.066557	5.10e-03	-0.9965	3.19e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000179403.10.VWA1.wgt.RDat	VWA1	1	1.37e+06	1.38e+06	0.292	rs4648611	  2.89	rs7528416	-0.00960	-3.25	-0.11962	278	 4	lasso	-0.005153	4.89e-01	 0.1779	8.59e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000215915.5.ATAD3C.wgt.RDat	ATAD3C	1	1.39e+06	1.41e+06	0.264	rs4648611	  2.89	rs1240707	-0.00866	-3.05	 0.56250	273	 5	lasso	 0.027618	5.20e-02	 0.1998	8.42e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000162585.12.C1orf86.wgt.RDat	C1orf86	1	2.12e+06	2.14e+06	0.263	rs11581548	  3.13	rs2503701	 0.17722	 4.35	-1.06061	349	 5	lasso	 0.164088	1.43e-05	-1.6021	1.09e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000238164.2.RP3-395M20.8.wgt.RDat	RP3-395M20.8	1	2.48e+06	2.49e+06	0.186	rs11581548	  3.13	rs3814298	 0.05415	 4.21	-0.11194	342	 8	enet	 0.064178	5.87e-03	 0.2384	8.12e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000157873.13.TNFRSF14.wgt.RDat	TNFRSF14	1	2.49e+06	2.50e+06	0.172	rs11581548	  3.13	rs6667605	 0.06788	 4.39	 0.88393	344	 6	enet	 0.098636	7.65e-04	 0.5749	5.65e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000169598.11.DFFB.wgt.RDat	DFFB	1	3.77e+06	3.80e+06	0.498	rs6661168	  2.08	rs7530189	 0.41528	-6.88	-0.32515	447	20	enet	 0.465273	1.78e-15	 0.3250	7.45e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000131697.13.NPHP4.wgt.RDat	NPHP4	1	5.92e+06	6.05e+06	0.312	rs9439603	 -2.99	rs12745395	 0.07643	 4.33	 0.92126	534	 2	lasso	 0.090737	1.22e-03	 1.0299	3.03e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000049239.8.H6PD.wgt.RDat	H6PD	1	9.29e+06	9.33e+06	0.689	rs11121225	  3.23	rs2268175	 0.39655	-6.38	-0.52756	422	 9	lasso	 0.425427	6.75e-14	 0.5114	6.09e-01
