FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000186868.11.MAPT.wgt.RDat	MAPT	17	43971748	44105700	0.152	rs17689882	-15.80	rs17689882	 0.25318	-4.96	-15.79739	 29	 2	lasso	 0.25526	1.96e-07	 15.80544	2.85e-56	2.85e-56	2.68185e-53	2.68185e-53	GTEx.Brain_Frontal_Cortex_BA9
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.481	rs17689882	-15.80	rs17763086	 0.51769	-6.96	-15.79085	149	12	lasso	 0.49822	3.37e-15	 15.73682	8.46e-56	8.46e-56	3.98043e-53	7.96086e-53	GTEx.Brain_Frontal_Cortex_BA9
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.593	rs17689882	-15.80	rs8072451	 0.60084	 7.42	-15.64052	 27	 3	lasso	 0.59578	2.05e-19	-15.66852	2.48e-55	2.48e-55	7.77893333333333e-53	2.33368e-52	GTEx.Brain_Frontal_Cortex_BA9
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000204650.9.CRHR1-IT1.wgt.RDat	CRHR1-IT1	17	43697694	43725582	0.143	rs17689882	-15.80	rs17763086	 0.14445	 3.87	-15.79085	 87	10	lasso	 0.09550	1.68e-03	-15.36060	3.01e-53	3.01e-53	7.081025e-51	2.83241e-50	GTEx.Brain_Frontal_Cortex_BA9
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000238083.3.LRRC37A2.wgt.RDat	LRRC37A2	17	44588877	44630815	0.448	rs199439	-14.88	rs199439	 0.50250	 7.32	-14.88387	130	 8	lasso	 0.59215	3.06e-19	-14.66821	1.03e-48	1.03e-48	1.93846e-46	9.6923e-46	GTEx.Brain_Frontal_Cortex_BA9
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000176681.10.LRRC37A.wgt.RDat	LRRC37A	17	44370099	44415160	0.712	rs17689882	-15.80	rs17698176	 0.09400	 4.56	  4.02564	 75	 7	lasso	 0.49176	5.98e-15	 -8.99524	2.36e-19	2.36e-19	3.70126666666667e-17	2.22076e-16	GTEx.Brain_Frontal_Cortex_BA9
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000136243.12.NUPL2.wgt.RDat	NUPL2	7	2.32e+07	2.32e+07	0.296	rs858239	-8.73	rs6961109	 0.159128	-4.60	-7.9098	423	 6	lasso	0.10159	1.21e-03	 8.4903	2.06e-17	2.06e-17	2.76922857142857e-15	1.93846e-14	GTEx.Brain_Frontal_Cortex_BA9
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000136235.11.GPNMB.wgt.RDat	GPNMB	7	2.33e+07	2.33e+07	0.295	rs858239	-8.71	rs2268747	 0.239959	-5.66	-8.0420	415	 8	lasso	0.32497	2.21e-09	 6.6099	3.85e-11	3.85e-11	4.5285625e-09	3.62285e-08	GTEx.Brain_Frontal_Cortex_BA9
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000103510.15.KAT8.wgt.RDat	KAT8	16	31127075	31142714	0.156	rs9938550	-6.82	rs12597511	 0.19827	-4.61	 6.1780	240	 1	lasso	 0.17222	2.56e-05	-6.1780	6.49e-10	6.49e-10	6.78565555555556e-08	6.10709e-07	GTEx.Brain_Frontal_Cortex_BA9
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Frontal_Cortex_BA9/GTEx.Brain_Frontal_Cortex_BA9.ENSG00000164615.3.CAMLG.wgt.RDat	CAMLG	5	1.34e+08	1.34e+08	0.356	rs17167632	-5.41	rs12658868	 0.299686	 5.63	-5.261	295	 5	lasso	 0.26252	1.25e-07	-5.3138	1.07e-07	1.07e-07	1.00687e-05	0.000100687	GTEx.Brain_Frontal_Cortex_BA9
