FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.5750	rs17689882	-15.80	rs17689471	 0.639449	-8.06	-15.68627	149	12	lasso	 0.63522	7.60e-24	 15.7054	1.39e-55	1.39e-55	2.8078e-52	2.8078e-52	GTEx.Brain_Cerebellum
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.5303	rs17689882	-15.80	rs17689918	 0.670479	 8.27	-15.79085	 27	19	enet	 0.67671	1.76e-26	-15.1580	6.71e-52	6.71e-52	6.7771e-49	1.35542e-48	GTEx.Brain_Cerebellum
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000238083.3.LRRC37A2.wgt.RDat	LRRC37A2	17	44588877	44630815	0.5356	rs199439	-14.88	rs169201	 0.671465	 8.29	-14.87097	130	23	enet	 0.68762	3.15e-27	-14.6578	1.20e-48	1.2e-48	8.08e-46	2.424e-45	GTEx.Brain_Cerebellum
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000225190.4.PLEKHM1.wgt.RDat	PLEKHM1	17	43513266	43568115	0.4059	rs17689882	-15.80	rs17689918	 0.436149	-6.71	-15.79085	174	19	enet	 0.45095	6.77e-15	 14.4068	4.69e-47	4.69e-47	2.36845e-44	9.4738e-44	GTEx.Brain_Cerebellum
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000176681.10.LRRC37A.wgt.RDat	LRRC37A	17	44370099	44415160	0.4930	rs17689882	-15.80	rs169201	 0.438222	 6.80	-14.87097	 75	30	enet	 0.52357	5.24e-18	-14.1662	1.48e-45	1.48e-45	5.9792e-43	2.9896e-42	GTEx.Brain_Cerebellum
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000186868.11.MAPT.wgt.RDat	MAPT	17	43971748	44105700	0.2163	rs17689882	-15.80	rs17689471	 0.330284	-5.94	-15.68627	 29	22	enet	 0.33959	7.91e-11	 13.0222	9.15e-39	9.15e-39	3.0805e-36	1.8483e-35	GTEx.Brain_Cerebellum
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000127419.12.TMEM175.wgt.RDat	TMEM175	4	9.26e+05	9.52e+05	0.4025	rs4690326	10.12	rs2290402	 0.09257	-4.53	 6.28571	 393	 7	lasso	 0.162247	1.61e-05	-8.19975	2.41e-16	2.41e-16	6.1105e-14	4.8682e-13	GTEx.Brain_Cerebellum
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000136243.12.NUPL2.wgt.RDat	NUPL2	7	2.32e+07	2.32e+07	0.412	rs858239	-8.73	rs10254544	 3.84e-01	-7.01	-7.7917	423	20	enet	 0.452308	5.98e-15	 8.1992	2.42e-16	2.42e-16	6.1105e-14	4.8884e-13	GTEx.Brain_Cerebellum
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000136235.11.GPNMB.wgt.RDat	GPNMB	7	2.33e+07	2.33e+07	0.157	rs858239	-8.71	rs199656	 1.58e-01	-4.60	-7.1197	415	 4	lasso	 0.130625	1.12e-04	 8.1116	5.00e-16	5e-16	1.12222222222222e-13	1.01e-12	GTEx.Brain_Cerebellum
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000230042.1.AK3P3.wgt.RDat	AK3P3	7	2.32e+07	2.32e+07	0.270	rs858239	-8.74	rs13438188	 1.50e-01	-4.29	-8.3136	416	23	enet	 0.135334	8.43e-05	 6.7908	1.12e-11	1.12e-11	2.2624e-09	2.2624e-08	GTEx.Brain_Cerebellum
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellum/GTEx.Brain_Cerebellum.ENSG00000260911.1.RP11-196G11.2.wgt.RDat	RP11-196G11.2	16	31054471	31061201	0.314	rs9938550	-6.82	rs12445568	 0.30043	 6.35	-6.5798	 235	 4	lasso	 0.36257	1.31e-11	-6.64836	2.96e-11	2.96e-11	5.43563636363636e-09	5.9792e-08	GTEx.Brain_Cerebellum
