FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000186868.11.MAPT.wgt.RDat	MAPT	17	43971748	44105700	0.243	rs17689882	-15.80	rs17763086	 0.26060	-5.29	-15.7908	 29	 1	lasso	 0.248283	4.67e-07	 15.7908	3.60e-56	3.6e-56	5.4792e-53	5.4792e-53	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.579	rs17689882	-15.80	rs8072451	 0.63405	-7.52	-15.6405	149	 2	lasso	 0.628467	2.11e-20	 15.6988	1.54e-55	1.54e-55	1.17194e-52	2.34388e-52	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000225190.4.PLEKHM1.wgt.RDat	PLEKHM1	17	43513266	43568115	0.306	rs17689882	-15.80	rs8072451	 0.22487	-4.90	-15.6405	174	 4	lasso	 0.200529	7.25e-06	 15.5949	7.89e-55	7.89e-55	4.00286e-52	1.200858e-51	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.384	rs17689882	-15.80	rs17689918	 0.61158	 7.33	-15.7908	 27	13	enet	 0.610084	1.71e-19	-15.2743	1.13e-52	1.13e-52	4.29965e-50	1.71986e-49	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000238083.3.LRRC37A2.wgt.RDat	LRRC37A2	17	44588877	44630815	0.483	rs199439	-14.88	rs169201	 0.59585	 7.38	-14.8710	130	11	lasso	 0.582918	3.16e-18	-14.8041	1.38e-49	1.38e-49	4.20072e-47	2.10036e-46	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000176681.10.LRRC37A.wgt.RDat	LRRC37A	17	44370099	44415160	0.611	rs17689882	-15.80	rs17689918	 0.45125	 6.30	-15.7908	 75	26	enet	 0.587235	2.01e-18	-12.8847	5.49e-38	5.49e-38	1.39263e-35	8.35578e-35	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000136243.12.NUPL2.wgt.RDat	NUPL2	7	2.32e+07	2.32e+07	0.538	rs858239	-8.73	rs1881203	 0.499433	-6.87	-8.3419	423	 8	lasso	 0.539537	2.31e-16	 8.50500	1.82e-17	1.82e-17	3.9572e-15	2.77004e-14	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000108379.5.WNT3.wgt.RDat	WNT3	17	44839872	44910424	0.239	rs199439	-14.88	rs12452064	 0.02196	-3.69	  3.8833	246	12	enet	 0.050388	2.00e-02	 -8.1746	2.97e-16	2.97e-16	5.650425e-14	4.52034e-13	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000184922.9.FMNL1.wgt.RDat	FMNL1	17	43298811	43324687	0.266	rs11012	-14.41	rs11012	 0.02961	-3.66	-14.4061	254	17	enet	 0.093250	2.22e-03	  7.0706	1.54e-12	1.54e-12	2.60431111111111e-10	2.34388e-09	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000145217.9.SLC26A1.wgt.RDat	SLC26A1	4	9.73e+05	9.87e+05	0.334	rs4690326	10.12	rs3822020	 0.13918	 4.66	 3.7265	 380	 8	lasso	 0.15187	1.03e-04	 6.9803	2.95e-12	2.95e-12	4.4899e-10	4.4899e-09	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000099365.5.STX1B.wgt.RDat	STX1B	16	31000577	31021949	0.134	rs9938550	-6.82	rs4889604	 0.110644	 3.72	-6.7395	231	 5	lasso	 0.10096	1.49e-03	-6.3886	1.67e-10	1.67e-10	2.31067272727273e-08	2.54174e-07	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000260911.1.RP11-196G11.2.wgt.RDat	RP11-196G11.2	16	31054471	31061201	0.184	rs9938550	-6.82	rs7197717	 0.064163	 4.25	-6.1356	235	 6	lasso	 0.09874	1.67e-03	-6.1985	5.70e-10	5.7e-10	7.1534e-08	8.6754e-07	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000103510.15.KAT8.wgt.RDat	KAT8	16	31127075	31142714	0.121	rs9938550	-6.82	rs2855475	 0.227501	-4.58	 6.1538	240	 3	lasso	 0.17535	2.91e-05	-6.1876	6.11e-10	6.11e-10	7.1534e-08	9.29942e-07	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000226314.3.ZNF192P1.wgt.RDat	ZNF192P1	6	28129559	28137372	0.552	rs4713118	 7.16	rs1340004	 0.17469	 5.79	 4.793	457	49	enet	 0.37907	1.04e-10	 5.7385	9.55e-09	9.55e-09	1.03822142857143e-06	1.45351e-05	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000164615.3.CAMLG.wgt.RDat	CAMLG	5	1.34e+08	1.34e+08	0.424	rs17167632	-5.41	rs17167632	 0.23844	 5.23	-5.40957	295	 8	lasso	 0.196986	8.83e-06	-5.49394	3.93e-08	3.93e-08	3.98764e-06	5.98146e-05	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000189157.9.FAM47E.wgt.RDat	FAM47E	4	7.71e+07	7.72e+07	0.286	rs12651582	 7.55	rs6849069	 0.16743	 4.65	-2.9478	 500	 4	lasso	 0.19137	1.21e-05	-5.3451	9.04e-08	9.04e-08	8.5993e-06	0.0001375888	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000251417.1.RP11-1348G14.4.wgt.RDat	RP11-1348G14.4	16	28814097	28829149	0.107	rs4072402	-5.39	rs4451951	 0.135518	-4.62	-4.7607	177	 2	lasso	 0.16613	4.80e-05	 4.8490	1.24e-06	1.24e-06	0.000111016470588235	0.00188728	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000113621.10.TXNDC15.wgt.RDat	TXNDC15	5	1.34e+08	1.34e+08	0.509	rs17167632	-5.41	rs3733897	 0.47627	 6.63	-4.56395	340	 5	lasso	 0.467887	1.24e-13	-4.66470	3.09e-06	3.09e-06	0.000261276666666667	0.00470298	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000197062.7.RP5-874C20.3.wgt.RDat	RP5-874C20.3	6	28234788	28245974	0.108	rs742047	 6.46	rs149946	 0.04077	-4.03	 5.023	415	10	lasso	 0.03732	3.95e-02	-4.6010	4.21e-06	4.21e-06	0.000337243157894737	0.00640762	GTEx.Brain_Cerebellar_Hemisphere
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000145730.16.PAM.wgt.RDat	PAM	5	1.02e+08	1.02e+08	0.269	rs28025	-5.62	rs35801	 0.10451	 4.94	-4.14173	373	 4	lasso	 0.134073	2.66e-04	-4.49205	7.05e-06	7.05e-06	0.000536505	0.0107301	GTEx.Brain_Cerebellar_Hemisphere
