FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000225880.4.LINC00115.wgt.RDat	LINC00115	1	7.62e+05	7.63e+05	0.2897	rs12092254	-1.59	rs3094315	 0.064833	 3.75	-0.0486	151	 5	lasso	 0.11428	7.48e-04	-0.1999	8.42e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000127054.14.CPSF3L.wgt.RDat	CPSF3L	1	1.25e+06	1.26e+06	0.2481	rs4648611	 2.89	rs2649589	 0.087528	 4.50	 0.5284	245	 2	lasso	 0.06233	1.08e-02	 0.5204	6.03e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000240731.1.RP5-890O3.9.wgt.RDat	RP5-890O3.9	1	1.25e+06	1.25e+06	0.2421	rs4648611	 2.89	rs12044597	 0.021810	-3.47	 0.9593	240	 9	lasso	 0.01535	1.28e-01	-0.7317	4.64e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000235098.4.ANKRD65.wgt.RDat	ANKRD65	1	1.35e+06	1.36e+06	0.5637	rs4648611	 2.89	rs12089560	 0.164476	-4.91	 0.6828	274	10	lasso	 0.19592	9.37e-06	-0.6490	5.16e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000008130.11.NADK.wgt.RDat	NADK	1	1.68e+06	1.71e+06	0.1791	rs4648611	 2.89	rs2235536	 0.106740	 3.97	 1.2077	276	 7	lasso	 0.08651	3.14e-03	 1.2024	2.29e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000116198.8.CEP104.wgt.RDat	CEP104	1	3.73e+06	3.77e+06	0.4645	rs10909930	 2.32	rs6663840	 0.109662	-4.39	 1.2891	458	 5	lasso	 0.10249	1.38e-03	-0.7855	4.32e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000169598.11.DFFB.wgt.RDat	DFFB	1	3.77e+06	3.80e+06	0.5284	rs6661168	 2.08	rs4074709	 0.272407	-5.63	 0.1302	447	22	enet	 0.39166	4.25e-11	 0.3520	7.25e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000131697.13.NPHP4.wgt.RDat	NPHP4	1	5.92e+06	6.05e+06	0.3210	rs9439603	-2.99	rs12033563	 0.105876	 4.13	 1.3058	534	 5	lasso	 0.10538	1.19e-03	 0.5423	5.88e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000171824.9.EXOSC10.wgt.RDat	EXOSC10	1	1.11e+07	1.12e+07	0.2338	rs284277	-3.87	rs1205592	 0.102658	 4.23	 1.7273	353	 3	lasso	 0.11721	6.42e-04	 1.5011	1.33e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000242349.1.NPPA-AS1.wgt.RDat	NPPA-AS1	1	1.19e+07	1.19e+07	0.5048	rs3117066	 3.02	rs5065	 0.166626	-5.37	-1.0191	451	 5	lasso	 0.30978	1.08e-08	 1.3137	1.89e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000116786.7.PLEKHM2.wgt.RDat	PLEKHM2	1	1.60e+07	1.61e+07	0.2726	rs3979179	 2.62	rs16851819	 0.165978	 4.70	 0.5760	478	 8	lasso	 0.16297	5.70e-05	 0.4790	6.32e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000237938.1.RP11-288I21.1.wgt.RDat	RP11-288I21.1	1	1.60e+07	1.61e+07	0.2422	rs3979179	 2.62	rs7516540	 0.087357	 4.05	 0.2340	432	 9	lasso	 0.09801	1.74e-03	 0.6158	5.38e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000162461.7.SLC25A34.wgt.RDat	SLC25A34	1	1.61e+07	1.61e+07	0.4608	rs3979179	 2.62	rs12744547	 0.352652	-5.68	 0.2286	423	 6	lasso	 0.29617	2.55e-08	-0.1976	8.43e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000224459.1.RP11-169K16.4.wgt.RDat	RP11-169K16.4	1	1.61e+07	1.61e+07	0.3026	rs3979179	 2.62	rs12744547	 0.061506	-4.53	 0.2286	425	34	enet	 0.11544	7.04e-04	-0.8234	4.10e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000142632.12.ARHGEF19.wgt.RDat	ARHGEF19	1	1.65e+07	1.65e+07	0.3926	rs3979179	 2.62	rs221045	 0.211958	 4.70	-1.4341	320	 2	lasso	 0.16229	5.91e-05	-1.1752	2.40e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000233929.1.MT1XP1.wgt.RDat	MT1XP1	1	1.66e+07	1.66e+07	0.2457	rs3979179	 2.62	rs11260732	 0.176786	 4.43	-1.5145	300	 3	lasso	 0.13324	2.78e-04	-1.3013	1.93e-01
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Cerebellar_Hemisphere/GTEx.Brain_Cerebellar_Hemisphere.ENSG00000215908.5.CROCCP2.wgt.RDat	CROCCP2	1	1.69e+07	1.70e+07	0.2811	rs9435739	-3.42	rs4661747	 0.016050	 3.72	-1.4000	268	14	enet	 0.02824	6.37e-02	-0.9785	3.28e-01
