FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000204650.9.CRHR1-IT1.wgt.RDat	CRHR1-IT1	17	43697694	43725582	0.125	rs17689882	-15.80	rs17763086	 0.03071	 3.73	-15.791	 87	 9	lasso	-0.00603	4.70e-01	-15.6229	5.09e-55	5.09e-55	3.1049e-52	3.1049e-52	GTEx.Brain_Hypothalamus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000214401.4.KANSL1-AS1.wgt.RDat	KANSL1-AS1	17	44270942	44274089	0.542	rs17689882	-15.80	rs8072451	 0.54505	 6.71	-15.641	 27	 5	lasso	 0.54055	4.93e-15	-15.2162	2.76e-52	2.76e-52	8.418e-50	1.6836e-49	GTEx.Brain_Hypothalamus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000214425.2.LRRC37A4P.wgt.RDat	LRRC37A4P	17	43578685	43623042	0.472	rs17689882	-15.80	rs8072451	 0.42946	-6.02	-15.641	149	 2	lasso	 0.46188	2.52e-12	 14.8918	3.73e-50	3.73e-50	7.58433333333333e-48	2.2753e-47	GTEx.Brain_Hypothalamus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000238083.3.LRRC37A2.wgt.RDat	LRRC37A2	17	44588877	44630815	0.558	rs199439	-14.88	rs199439	 0.59232	 7.04	-14.884	130	 8	lasso	 0.62376	1.90e-18	-14.7272	4.31e-49	4.31e-49	6.57275e-47	2.6291e-46	GTEx.Brain_Hypothalamus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000176681.10.LRRC37A.wgt.RDat	LRRC37A	17	44370099	44415160	0.686	rs17689882	-15.80	rs183211	 0.27706	 5.57	-13.507	 75	34	enet	 0.61029	7.58e-18	 -9.0406	1.56e-19	1.56e-19	1.9032e-17	9.516e-17	GTEx.Brain_Hypothalamus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000136235.11.GPNMB.wgt.RDat	GPNMB	7	2.33e+07	2.33e+07	0.270	rs858239	-8.71	rs199359	 0.13667	-4.40	-6.6724	415	 4	lasso	 0.13037	5.88e-04	 7.5262	5.23e-14	5.23e-14	5.31716666666667e-12	3.1903e-11	GTEx.Brain_Hypothalamus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000108379.5.WNT3.wgt.RDat	WNT3	17	44839872	44910424	0.331	rs199439	-14.88	rs12952746	 0.05492	 4.19	 -1.770	246	20	enet	 0.20580	1.42e-05	 -6.6804	2.38e-11	2.38e-11	2.074e-09	1.4518e-08	GTEx.Brain_Hypothalamus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000262879.1.RP11-156P1.3.wgt.RDat	RP11-156P1.3	17	45061411	45177689	0.455	rs199439	-14.88	rs7221042	 0.06245	 4.41	 -0.556	291	48	enet	 0.26965	4.79e-07	 -6.5360	6.32e-11	6.32e-11	4.819e-09	3.8552e-08	GTEx.Brain_Hypothalamus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000164615.3.CAMLG.wgt.RDat	CAMLG	5	1.34e+08	1.34e+08	0.284	rs17167632	-5.41	rs11948613	 0.28353	 5.26	-5.3511	295	 4	lasso	 0.25098	1.32e-06	-5.3646	8.11e-08	8.11e-08	5.49677777777778e-06	4.9471e-05	GTEx.Brain_Hypothalamus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000249252.1.RP11-665G4.1.wgt.RDat	RP11-665G4.1	4	1.50e+07	1.54e+07	0.430	rs4698412	-9.13	rs6815296	 0.034087	-3.51	-5.1491	676	 3	enet	 0.06497	1.28e-02	 5.2496	1.52e-07	1.52e-07	9.272e-06	9.272e-05	GTEx.Brain_Hypothalamus
/array/dkia/eqtl/twas/expression_weights/GTEx/GTEx.Brain_Hypothalamus/GTEx.Brain_Hypothalamus.ENSG00000213672.3.NCKIPSD.wgt.RDat	NCKIPSD	3	4.87e+07	4.87e+07	0.183	rs12497850	 -5.74	rs7633840	 0.11626	-4.11	-5.2927	256	 7	lasso	 0.13228	5.36e-04	 4.85802	1.19e-06	1.19e-06	6.59909090909091e-05	0.0007259	GTEx.Brain_Hypothalamus
