Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	Source of gene name	Gene type
ENSG00000066379	6	30026676	30032686	ZNRD1	HGNC Symbol	protein_coding
ENSG00000074219	19	49843852	49865714	TEAD2	HGNC Symbol	protein_coding
ENSG00000078487	7	99998449	100026615	ZCWPW1	HGNC Symbol	protein_coding
ENSG00000087157	17	76374721	76421195	PGS1	HGNC Symbol	protein_coding
ENSG00000103642	15	63413999	63434260	LACTB	HGNC Symbol	protein_coding
ENSG00000103932	15	41809374	41836467	RPAP1	HGNC Symbol	protein_coding
ENSG00000105146	19	57742377	57746916	AURKC	HGNC Symbol	protein_coding
ENSG00000112357	6	137143717	137235075	PEX7	HGNC Symbol	protein_coding
ENSG00000115041	2	95963052	96051825	KCNIP3	HGNC Symbol	protein_coding
ENSG00000117500	1	93615299	93646285	TMED5	HGNC Symbol	protein_coding
ENSG00000121716	7	99933737	99965356	PILRB	HGNC Symbol	protein_coding
ENSG00000146834	7	100026413	100031741	MEPCE	HGNC Symbol	protein_coding
ENSG00000152254	2	169757750	169766505	G6PC2	HGNC Symbol	protein_coding
ENSG00000155066	2	95940201	95957056	PROM2	HGNC Symbol	protein_coding
ENSG00000163938	3	52715172	52728508	GNL3	HGNC Symbol	protein_coding
ENSG00000164615	5	134074191	134087847	CAMLG	HGNC Symbol	protein_coding
ENSG00000171103	2	29072687	29093167	TRMT61B	HGNC Symbol	protein_coding
ENSG00000172273	11	118992297	119006752	HINFP	HGNC Symbol	protein_coding
ENSG00000178802	15	75182346	75191798	MPI	HGNC Symbol	protein_coding
ENSG00000180914	3	8792094	8811314	OXTR	HGNC Symbol	protein_coding
ENSG00000183726	1	25664408	25688852	TMEM50A	HGNC Symbol	protein_coding
ENSG00000187010	1	25598884	25656936	RHD	HGNC Symbol	protein_coding
ENSG00000188672	1	25688740	25756683	RHCE	HGNC Symbol	protein_coding
ENSG00000197253	16	1277272	1280214	TPSB2	HGNC Symbol	polymorphic_pseudogene
ENSG00000204178	1	25757388	25826700	TMEM57	HGNC Symbol	protein_coding
ENSG00000213639	2	28974506	29025806	PPP1CB	HGNC Symbol	protein_coding
ENSG00000224183	1	25620655	25621134	SDHDP6	HGNC Symbol	pseudogene
ENSG00000229635	1	93850044	93850555	RP4-713B5.2	Clone-based (Vega) gene	pseudogene
ENSG00000236975	1	229228562	229230652	RP5-1065P14.2	Clone-based (Vega) gene	lincRNA
ENSG00000242294	7	99933702	99949523	STAG3L5P	HGNC Symbol	pseudogene
ENSG00000253893	8	8025341	8084136	FAM85B	HGNC Symbol	antisense
ENSG00000260490	15	42864125	42864631	RP11-265N6.3	Clone-based (Vega) gene	pseudogene
ENSG00000261349	1	25592593	25593627	RP3-465N24.5	Clone-based (Vega) gene	pseudogene
ENSG00000261357	16	19077313	19078016	RP11-626G11.1	Clone-based (Vega) gene	lincRNA
ENSG00000267454	19	56905025	56910541	ZNF582-AS1	HGNC Symbol	lincRNA
ENSG00000270048	12	124447102	124447364	RP11-214K3.22	Clone-based (Vega) gene	sense_intronic
ENSG00000270154	8	12333971	12334631	RP11-419I17.1	Clone-based (Vega) gene	lincRNA
