FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ_SPLICING/CMC.chr17:44049311:44055741:clu_11157.wgt.RDat	MAPT	17	43971747	44105699	0.0334	rs17689882	-15.80	rs17689471	 5.87e-02	 -5.48	-15.68627	 30	 12	lasso	 0.051245	 8.82e-07	 15.6863	1.88e-55	1.88e-55	1.016429e-51	1.458692e-51	CMC.BRAIN.RNASEQ_SPLICING
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ_SPLICING/CMC.chr17:44049311:44051751:clu_11157.wgt.RDat	MAPT	17	43971747	44105699	0.0594	rs17689882	-15.80	rs17689471	 1.10e-01	  7.19	-15.68627	 30	 10	lasso	 0.105666	 1.39e-12	-15.6652	2.62e-55	2.62e-55	1.016429e-51	2.032858e-51	CMC.BRAIN.RNASEQ_SPLICING
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ_SPLICING/CMC.chr17:44051837:44055741:clu_11157.wgt.RDat	MAPT	17	43971747	44105699	0.0622	rs17689882	-15.80	rs17689471	 9.62e-02	  6.83	-15.68627	 29	 29	blup	 0.098858	 7.66e-12	-15.1141	1.31e-51	1.31e-51	3.38809666666667e-48	1.016429e-47	CMC.BRAIN.RNASEQ_SPLICING
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ_SPLICING/CMC.chr4:90756843:90757894:clu_31425.wgt.RDat	SNCA	4	9.06e+07	9.08e+07	0.1504	rs356200	19.20	rs1471484	 1.01e-01	 -7.27	-13.79861	383	  7	lasso	 0.112902	2.25e-13	 14.75290	2.95e-49	2.95e-49	5.7222625e-46	2.288905e-45	CMC.BRAIN.RNASEQ_SPLICING
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ_SPLICING/CMC.chr17:43750268:43884376:clu_11153.wgt.RDat	CRHR1	17	43861645	43913191	0.0184	rs17689882	-15.80	rs17689471	 5.31e-03	 -3.28	-15.68627	 69	 69	blup	 0.013862	 7.51e-03	 14.1890	1.07e-45	1.07e-45	1.660426e-42	8.30213e-42	CMC.BRAIN.RNASEQ_SPLICING
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ_SPLICING/CMC.chr17:43884463:43906581:clu_11154.wgt.RDat	CRHR1	17	43861645	43913191	0.0400	rs17689882	-15.80	rs17689471	 4.56e-02	  5.23	-15.68627	 31	 16	enet	 0.051276	 8.75e-07	-13.9838	1.96e-44	1.96e-44	2.53460666666667e-41	1.520764e-40	CMC.BRAIN.RNASEQ_SPLICING
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ_SPLICING/CMC.chr17:44594799:44597578:clu_11171.wgt.RDat	LRRC37A2	17	44590075	44633014	0.1564	rs199439	-14.88	rs199448	 1.97e-01	  9.51	-14.83226	134	 35	enet	 0.200168	 2.08e-23	-13.9286	4.25e-44	4.25e-44	4.71082142857143e-41	3.297575e-40	CMC.BRAIN.RNASEQ_SPLICING
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ_SPLICING/CMC.chr4:90756843:90758113:clu_31425.wgt.RDat	SNCA	4	9.06e+07	9.08e+07	0.1123	rs356200	19.20	rs2736994	 1.08e-01	  7.17	-11.43662	383	383	bslmm	 0.111492	3.22e-13	-13.06881	4.96e-39	4.96e-39	4.81058e-36	3.848464e-35	CMC.BRAIN.RNASEQ_SPLICING
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ_SPLICING/CMC.chr4:926328:944212:clu_30412.wgt.RDat	TMEM175	4	9.26e+05	9.52e+05	0.0959	rs4690326	10.12	rs7684266	 6.62e-03	  4.60	  5.50000	415	415	blup	 0.038252	2.01e-05	  8.57145	1.02e-17	1.02e-17	8.79353333333333e-15	7.91418e-14	CMC.BRAIN.RNASEQ_SPLICING
/array/dkia/eqtl/twas/expression_weights/twas/CMC.BRAIN.RNASEQ_SPLICING/CMC.chr7:23145765:23157453:clu_23826.wgt.RDat	KLHL7	7	2.31e+07	2.32e+07	0.0437	rs858239	-8.75	rs10224327	 0.041346	  4.89	-8.14286	434	  3	lasso	 0.029118	 1.81e-04	-8.14444	3.81e-16	3.81e-16	2.956179e-13	2.956179e-12	CMC.BRAIN.RNASEQ_SPLICING
