gene	gene_name	zscore	effect_size	pvalue	var_g	pred_perf_r2	pred_perf_pval	pred_perf_qval	n_snps_used	n_snps_in_cov	n_snps_in_model	Pvalue	Pvalue_FDR	Pvalue_bonferroni	Region
ENSG00000185829	ARL17A	-14.9481459315	-0.433280581889	1.60146093313e-50	0.114855894056	0.415636369044	3.08755566285e-12	1.09224966295e-10	22	28	28	1.60146093313e-50	4.93089821310727e-47	4.93089821310727e-47	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000238083	LRRC37A2	-13.7508839234	-0.431421695055	5.03110574221e-43	0.103018841678	0.619429568156	8.55461531705e-21	3.26164607415e-18	29	52	52	5.03110574221e-43	7.74538729013229e-40	1.54907745802646e-39	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000176681	LRRC37A	-12.4263510644	-0.298434783782	1.88022747708e-35	0.17216846331	0.518893936739	3.99406885926e-16	4.89481603902e-14	43	57	57	1.88022747708e-35	1.92974013397644e-32	5.78922040192932e-32	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000136243	NUPL2	8.84178190479	0.260910469195	9.42039716204e-19	0.0774404678169	0.174519307976	3.09472128663e-05	0.000146272868833	8	8	8	9.42039716204e-19	7.25135071548029e-16	2.90054028619212e-15	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000136235	GPNMB	8.6091378599	0.29291361083	7.36120814436e-18	0.0542131769219	0.13397554449	0.000308383747393	0.00100494424658	11	12	12	7.36120814436e-18	4.53303197529689e-15	2.26651598764844e-14	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000198315	ZKSCAN8	-7.38590906882	-0.162768842046	1.51415251566e-13	0.123341290652	0.113098842653	0.000981187822519	0.00257015734518	24	28	28	1.51415251566e-13	7.7701259928619e-11	4.66207559571714e-10	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000117280	RAB7L1	7.3417101738	0.288803598775	2.10881669717e-13	0.0458470302044	0.0721716950615	0.00922074273183	0.015066954195	9	9	9	2.10881669717e-13	9.27578087226633e-11	6.49304661058643e-10	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000108379	WNT3	-7.29115110618	-0.344462582057	3.0731784486e-13	0.0407944022917	0.12322510469	0.000560705722806	0.00161956135688	6	8	8	3.0731784486e-13	1.18278955540493e-10	9.4623164432394e-10	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000164733	CTSB	-7.01350635053	-0.24189597395	2.3241841116e-12	0.0497587347013	0.162921470846	6.02159537373e-05	0.000255155867617	13	16	16	2.3241841116e-12	7.95129208846267e-10	7.1561628796164e-09	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000103510	KAT8	-6.38456665161	-0.160027178223	1.71883507738e-10	0.108279793445	0.194998611353	9.38477440739e-06	5.29662365712e-05	17	17	17	1.71883507738e-10	5.29229320325302e-08	5.29229320325302e-07	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000181513	ACBD4	6.28442198888	0.176841398848	3.29075725918e-10	0.11745197911	0.0589462734515	0.0190320382988	0.0261439814505	43	51	51	3.29075725918e-10	9.21112872819565e-08	1.01322416010152e-06	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000103496	STX4	6.13061975377	0.228525480195	8.75373970402e-10	0.0551164767079	0.0515576272855	0.0286131434691	0.0353718364558	21	30	30	8.75373970402e-10	2.22596617621765e-07	2.69527645486776e-06	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000122550	KLHL7	-6.1193062395	-0.10620069349	9.39836319936e-10	0.243763662182	0.0643062164104	0.0141804363554	0.0208303042977	54	55	55	9.39836319936e-10	2.22596617621765e-07	2.89375602908294e-06	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000004468	CD38	-5.58870175426	-0.184297957689	2.28773476582e-08	0.0692952174248	0.0562802083796	0.0220413027694	0.0291637521991	28	30	30	2.28773476582e-08	5.0313823885427e-06	7.04393534395978e-05	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000204472	AIF1	-5.50438928091	-2.48936384533	3.70450184245e-08	0.000349255807067	0.0489667858927	0.0330373277962	0.0393359636294	2	33	33	3.70450184245e-08	7.60410744860237e-06	0.000114061611729036	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000164615	CAMLG	-5.36382394423	-0.0737124443344	8.14783229854e-08	0.270221508771	0.36131445405	1.88340295584e-10	3.89326546511e-09	24	25	25	8.14783229854e-08	1.56794847795029e-05	0.000250871756472047	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000228696	ARL17B	5.26267774712	0.158366004566	1.41972296517e-07	0.0815348353877	0.109116415185	0.001221708038	0.00309532006547	25	31	31	1.41972296517e-07	2.57136882926966e-05	0.000437132700975843	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000213672	NCKIPSD	5.08439662332	0.13181260641	3.68796565044e-07	0.0929038941934	0.133162290863	0.000322699394928	0.0010358558037	14	15	15	3.68796565044e-07	6.3084701320582e-05	0.00113552462377048	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000159314	ARHGAP27	-4.68959547433	-0.186330914572	2.73745685907e-06	0.0536398064934	0.189902791682	1.26570668773e-05	6.82896390075e-05	25	44	44	2.73745685907e-06	0.000443612087846133	0.00842862966907653	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000196118	C16orf93	4.64147243185	0.070993294032	3.45935181206e-06	0.301856742793	0.226943047468	1.38740931371e-06	1.03271988157e-05	43	57	57	3.45935181206e-06	0.000532567211466637	0.0106513442293327	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000145217	SLC26A1	4.48123513171	0.124915759317	7.42122942231e-06	0.105532455466	0.291350563372	2.36014318895e-08	2.99953162957e-07	16	35	35	7.42122942231e-06	0.00106529770611256	0.0228499653912925	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000178226	PRSS36	-4.47582333663	-0.102323192813	7.61174067375e-06	0.137770722917	0.262694622849	1.50383348364e-07	1.50447331191e-06	7	7	7	7.61174067375e-06	0.00106529770611256	0.0234365495344762	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000178952	TUFM	-4.34807586819	-0.160683282565	1.37337099596e-05	0.0661574017876	0.0956416081853	0.00255821476626	0.00560920764515	13	17	17	1.37337099596e-05	0.00183852578111341	0.0422860929656084	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000188672	RHCE	4.30523831313	0.107286120184	1.66806067886e-05	0.130117515087	0.179643011341	2.30105958356e-05	0.00011312310043	18	18	18	1.66806067886e-05	0.00213998284592081	0.0513595883020994	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000103549	RNF40	-4.29297034743	-0.151736792192	1.76298558988e-05	0.058108217431	0.128797103001	0.000411517886298	0.00125520613007	18	18	18	1.76298558988e-05	0.00217129305249621	0.0542823263124052	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000136048	DRAM1	-4.09861967148	-0.0995508186459	4.15621331764e-05	0.154182778802	0.244012237158	4.85844206185e-07	4.27475549034e-06	25	26	26	4.15621331764e-05	0.00492191569423598	0.127969808050136	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000197165	SULT1A2	-4.05996320338	-0.247752588031	4.90804500753e-05	0.0229679582866	0.0560698965266	0.0222983434828	0.0293839704718	21	25	25	4.90804500753e-05	0.00559698910303143	0.151118705781849	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000146834	MEPCE	4.01721733046	0.103334480122	5.88894090316e-05	0.11317954876	0.211594296981	3.50454431886e-06	2.25622914649e-05	35	35	35	5.88894090316e-05	0.0064757318002963	0.181320490408296	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000074219	TEAD2	-3.9883118721	-0.109337847553	6.65451440603e-05	0.0952653678722	0.226740001121	1.40466464817e-06	1.0433007863e-05	41	44	44	6.65451440603e-05	0.00706525857109185	0.204892498561664	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000237765	FAM200B	3.9280153989	0.0863854806118	8.56497281131e-05	0.168735165021	0.190709888861	1.20726157678e-05	6.54450081954e-05	42	46	46	8.56497281131e-05	0.00879051709534116	0.263715512860235	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000178057	NDUFAF3	-3.88158119117	-0.508386481462	0.000103779491853	0.00266946614128	0.0513973092437	0.0288684333151	0.0356462235542	14	15	15	0.000103779491853	0.0103076469488835	0.319537055415387	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000174227	PIGG	3.86222219467	2.20520428211	0.0001123603016	0.000140841223204	0.0554679517279	0.0230510114681	0.0301057451025	1	1	1	0.0001123603016	0.010811167769575	0.3459573686264	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000187010	RHD	-3.8546934688	-0.0707171565855	0.000115874720271	0.30253458483	0.406767610904	6.19036532228e-12	2.00396103116e-10	40	48	48	0.000115874720271	0.0108114625368003	0.356778263714409	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000197774	EME2	-3.81956706889	-0.135850994808	0.000133686106987	0.0508808708239	0.146762147285	0.000150563264205	0.000553160299656	9	9	9	0.000133686106987	0.0121064565709698	0.411619523412973	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000124701	APOBEC2	3.76666665077	1.33958671379	0.000165441664179	0.000503395223317	0.0843995767836	0.00472890036453	0.00904012776856	1	1	1	0.000165441664179	0.0145541395430612	0.509394884007141	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000122591	FAM126A	-3.6795931104	-0.203576031301	0.000233606385666	0.0255455832286	0.0820483140533	0.00537668308929	0.00997290239383	5	7	7	0.000233606385666	0.0199798350407115	0.719274061465614	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000166582	CENPV	3.60324277675	0.0662513362013	0.000314271738886	0.191614784665	0.370504983936	9.62433294294e-11	2.15852988305e-09	14	14	14	0.000314271738886	0.0261525049737836	0.967642684029994	Brain_Nucleus_accumbens_basal_ganglia
ENSG00000111325	OGFOD2	-3.58830674042	-0.687082822608	0.000332832571603	0.00315710030155	0.066881105518	0.0123149964492	0.0188233450521	7	13	13	0.000332832571603	0.0269681970517273	1	Brain_Nucleus_accumbens_basal_ganglia
